textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
本当に大変な思いをしながら修正してくれてるおかげでスプラ３を楽しめると思うと感謝の気持ちしかないこれで少しは洗濯機やリッターの理不尽な強さも普通になると思うとうれしい,"本当に大変な思いをしながら修正してくれてるおかげでスプラ３を楽しめると思うと感謝の気持ちしかない
これで少しは洗濯機やリッターの理不尽な強さも普通になると思うとうれしい",秋ナス,134,2022-10-25T02:55:01Z,2022-10-25T02:55:01Z
いつもの面白い企画だけじゃなくてこうゆうアップデートを動画にしてくれるの本当にありがたい！！！,いつもの面白い企画だけじゃなくてこうゆうアップデートを動画にしてくれるの本当にありがたい！！！,nekoko_kun,6,2022-10-25T10:23:56Z,2022-10-25T10:23:56Z
アプデ情報を短めに わかりやすく あげてくれるのマジ助かります！是非！毎回お願いします！,"アプデ情報を短めに わかりやすく あげてくれるのマジ助かります！
是非！毎回お願いします！",Travis Leon,35,2022-10-25T02:32:18Z,2022-10-25T02:32:18Z
一人でアプデ情報見てても寂しいので、一緒に見れるの助かります！,一人でアプデ情報見てても寂しいので、一緒に見れるの助かります！,こばかつ,4,2022-10-25T10:14:44Z,2022-10-25T10:14:44Z
仕事が早い！！！！！大事な部分をかいつまんで解説してくれてるから、初心者はもちろんアプデの情報詳しく見ないよって方でも見やすいだろうな〜と思うよ👍,"仕事が早い！！！！！
大事な部分をかいつまんで解説してくれてるから、初心者はもちろんアプデの情報詳しく見ないよって方でも見やすいだろうな〜と思うよ👍",れいか,32,2022-10-25T02:27:22Z,2022-10-25T02:27:22Z
楽しく分かりやすく説明してくれてありがとう！次回もまたやって欲しいです！！！,楽しく分かりやすく説明してくれてありがとう！次回もまたやって欲しいです！！！,META,1,2022-10-25T14:27:22Z,2022-10-25T14:27:22Z
今回の一番のポイントはラグ修正やねダメージ、キルデス、取得・ヒット判定が今までよりダイレクト化すればラグリッターが減るし、異次元キルデスが無くなるからこれでストレス軽減になると期待したい※尚、元々のラグは直ると言ってない(公式談),"今回の一番のポイントはラグ修正やね
ダメージ、キルデス、取得・ヒット判定が今までよりダイレクト化すれば
ラグリッターが減るし、異次元キルデスが無くなるからこれでストレス軽減になると期待したい
※尚、元々のラグは直ると言ってない(公式談)",アイギス,9,2022-10-25T03:01:48Z,2022-10-25T03:01:48Z
しをたんのアプデ解説わかりやすくて助かる〜😊,しをたんのアプデ解説わかりやすくて助かる〜😊,ナルミ,2,2022-10-25T04:35:16Z,2022-10-25T04:35:16Z
スプラ3から始めた勢だけど、このゲーム、調整内容の説明が丁寧ですごい,スプラ3から始めた勢だけど、このゲーム、調整内容の説明が丁寧ですごい,Qitai J,36,2022-10-25T03:38:57Z,2022-10-25T03:38:57Z
結構分かりにくかったけど、しをたんの説明のおかげで全部分かりました！！こういったアプデも動画にしてくれて感謝です😭👍,結構分かりにくかったけど、しをたんの説明のおかげで全部分かりました！！こういったアプデも動画にしてくれて感謝です😭👍,神奈川,1,2022-10-25T14:07:39Z,2022-10-25T14:07:39Z
個人的に洗濯機よりリッター弱体化してほしかった,個人的に洗濯機よりリッター弱体化してほしかった,なつき 南,3,2022-10-25T10:27:46Z,2022-10-25T10:27:46Z
めっちゃ分かりやすかったです！是非とも更新データ動画出して欲しいです！,めっちゃ分かりやすかったです！是非とも更新データ動画出して欲しいです！,半チャーハン大盛,4,2022-10-25T03:29:12Z,2022-10-25T03:29:12Z
これからもアップデート解説動画作って欲しいです！自分で見ても理解できないことがあるので、嬉しいです😊,"これからもアップデート解説動画作って欲しいです！
自分で見ても理解できないことがあるので、嬉しいです😊",ゆづぽん,0,2022-10-27T09:40:53Z,2022-10-27T09:40:53Z
発売日こだわるために早めたから開発途中でデバッグ済んでなかったんだねそれでもこの速さで修正する運営さん尊敬する,"発売日こだわるために早めたから開発途中でデバッグ済んでなかったんだね
それでもこの速さで修正する運営さん尊敬する",あいうえお,7,2022-10-25T08:05:21Z,2022-10-25T08:05:21Z
実質的なソイチューバーの強化本当にありがとうございます,実質的なソイチューバーの強化本当にありがとうございます,影の薄い石油ポンプ,6,2022-10-25T11:35:48Z,2022-10-25T11:35:48Z
マルミサに射程距離付けて遠すぎると発射出来なくすればいいだけなのに,マルミサに射程距離付けて遠すぎると発射出来なくすればいいだけなのに,もひくん,3,2022-10-25T10:23:39Z,2022-10-25T10:23:39Z
自分で細かく見るの面倒なので助かる！次回もやってほしい。,自分で細かく見るの面倒なので助かる！次回もやってほしい。,ダブ,15,2022-10-25T02:39:00Z,2022-10-25T02:39:00Z
ウルトラハンコがこれで2の時の性能に戻ってくれればまだある程度戦えるスペシャルになるはず,ウルトラハンコがこれで2の時の性能に戻ってくれればまだある程度戦えるスペシャルになるはず,武千代エイトのチャンネル,1,2022-10-25T13:32:32Z,2022-10-25T13:32:32Z
アップデートの内容を自分一人で読んでても盛り上がらないのですが、しをたんさんの動画だと色んな感想や解説が聞けて楽しかったです、感謝。またアップデートの感想&解説やっていただけると嬉しいです,"アップデートの内容を自分一人で読んでても盛り上がらないのですが、しをたんさんの動画だと色んな感想や解説が聞けて楽しかったです、感謝。
またアップデートの感想&解説やっていただけると嬉しいです",すたじお。,7,2022-10-25T04:05:08Z,2022-10-25T04:05:08Z
ウルトラハンコを投げる以外の使い方が出来るようになりますね。,ウルトラハンコを投げる以外の使い方が出来るようになりますね。,三時のおやつは拾い食いダブチ,7,2022-10-25T02:59:44Z,2022-10-25T02:59:44Z
しをたんのアプデ情報解説昔から見てるけどめちゃわかりやすいしポイントも押さえてるからこれからもぜひお願いしたいです。,しをたんのアプデ情報解説昔から見てるけどめちゃわかりやすいしポイントも押さえてるからこれからもぜひお願いしたいです。,KG くんぼう,1,2022-10-25T10:55:56Z,2022-10-25T10:55:56Z
情報解説早いの助かる,情報解説早いの助かる,らっちっち,2,2022-10-25T02:27:24Z,2022-10-25T02:27:24Z
アプデの内容わかりやすかったです！またアプデがあったらぜひ解説してほしいです！,アプデの内容わかりやすかったです！またアプデがあったらぜひ解説してほしいです！,Hina,2,2022-10-25T06:24:33Z,2022-10-25T06:24:33Z
わかりやすくてありがてぇ！バグ直してくれるスタッフさんには感謝しかない,"わかりやすくてありがてぇ！
バグ直してくれるスタッフさんには感謝しかない",よーすけ2000,9,2022-10-25T04:21:59Z,2022-10-25T04:21:59Z
やっぱり浮き輪状態中々1発で蘇生できない気がしたのは当たり判定おかしかったんだ…,やっぱり浮き輪状態中々1発で蘇生できない気がしたのは当たり判定おかしかったんだ…,e,153,2022-10-25T02:51:51Z,2022-10-25T02:51:51Z
はじめまして。いつも動画観させてもらってます。今回のアプデ項目多いので、重要そうなものをピックアップして情報共有してくれるのはマジで助かります😭ありがとうございました！,"はじめまして。いつも動画観させてもらってます。
今回のアプデ項目多いので、重要そうなものをピックアップして情報共有してくれるのはマジで助かります😭ありがとうございました！",いきぬき,2,2022-10-25T04:16:13Z,2022-10-25T04:16:13Z
バンガラマッチオープンとチャレンジ共続ける押して武器や装備変えれるようにして欲しい,"バンガラマッチオープンとチャレンジ共
続ける押して武器や装備変えれるようにして欲しい",たけしん。,4,2022-10-25T04:15:20Z,2022-10-25T04:15:20Z
サーモンランで「キャノンに乗れない」「金イクラ回収ラグ」「カタパッドのボム弾き」「浮き輪状態当たり判定」「モグラに吸われる」の修正は大きい。後はカタパッドのマルミサの当たり判定をレギュラーやバンカラと同じにしてほしい。明らかに当たり判定が強すぎなのと、ナベブタに乗ってる時など予告マーカーが出なくて理不尽にやられる。,"サーモンランで
「キャノンに乗れない」
「金イクラ回収ラグ」
「カタパッドのボム弾き」
「浮き輪状態当たり判定」
「モグラに吸われる」
の修正は大きい。
後はカタパッドのマルミサの当たり判定をレギュラーやバンカラと同じにしてほしい。
明らかに当たり判定が強すぎなのと、ナベブタに乗ってる時など予告マーカーが出なくて理不尽にやられる。",迷彩専門,5,2022-10-25T03:22:13Z,2022-10-25T03:22:13Z
トリカラバトル専用のステージ追加してほしいなぁ,トリカラバトル専用のステージ追加してほしいなぁ,スマイル,2,2022-10-25T07:58:09Z,2022-10-25T07:58:09Z
