textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
にこちゃん改めてありがとう。そして、よへ、何もよりもありがとうと言いたい。視聴者さんも是非飛ばさずに刮目してください😀丹精込めて作りました！,"にこちゃん改めてありがとう。
そして、よへ、何もよりもありがとうと言いたい。

視聴者さんも是非飛ばさずに刮目してください😀丹精込めて作りました！",水溜りボンド,1163,2022-10-26T11:13:10Z,2022-10-26T11:13:10Z
もう全てが怖いし、なにも信じられないですけど、とりあえず4人でいるのは楽しいし焼肉は美味しかったのでオールオッケイです笑笑😂(いつか必ずにこさんに会います),"もう全てが怖いし、なにも信じられないですけど、とりあえず4人でいるのは楽しいし焼肉は美味しかったのでオールオッケイです笑笑😂
(いつか必ずにこさんに会います)",伊吹とよへ,167,2022-10-26T13:24:54Z,2022-10-26T13:24:54Z
忙しすぎて荒んでた毎日だったところ、今日しばらくぶりに水溜りボンドのこの動画を拝見して久しぶりに涙が出るほど爆笑しました！笑い方忘れてたと思ってたのに自然に爆笑した自分にびっくり。楽しかった。本当にありがとう🍀*゜,"忙しすぎて荒んでた毎日だったところ、今日しばらくぶりに水溜りボンドのこの動画を拝見して
久しぶりに涙が出るほど爆笑しました！

笑い方忘れてたと思ってたのに
自然に爆笑した自分にびっくり。

楽しかった。
本当にありがとう🍀*゜",ぺこりぬ,152,2022-10-26T12:35:32Z,2022-10-26T12:35:32Z
やっぱり水溜りボンドのドッキリは綿密に練られてて、ヒリヒリして、たくさん配慮もされていて、そこが凄いし終始面白かったwぜひ続編待ってる…！,"やっぱり水溜りボンドのドッキリは綿密に練られてて、ヒリヒリして、たくさん配慮もされていて、そこが凄いし終始面白かったw
ぜひ続編待ってる…！",min,55,2022-10-26T14:23:14Z,2022-10-26T14:23:14Z
おもろすぎたからこれはリピートしまくるの確定だわお気に入りの水溜りの動画リストに入れよっと,おもろすぎたからこれはリピートしまくるの確定だわお気に入りの水溜りの動画リストに入れよっと,あじさい.,52,2022-10-26T12:07:27Z,2022-10-26T12:07:27Z
もうドッキリが巧妙すぎてこれで御飯3杯行けるレベルで面白すぎありがとうございます是非第2弾忘れた頃お願いします,"もうドッキリが巧妙すぎて
これで御飯3杯行けるレベルで面白すぎ
ありがとうございます是非第2弾
忘れた頃お願いします",Yomi,260,2022-10-26T11:20:12Z,2022-10-26T11:20:12Z
自分がやられたらめちゃくちゃ落ち込むけど見てる分には腹ちぎれるくらいおもろい笑,自分がやられたらめちゃくちゃ落ち込むけど見てる分には腹ちぎれるくらいおもろい笑,ぽむぽむ,234,2022-10-26T11:11:20Z,2022-10-26T11:21:27Z
終始4人が仲良くてたまらなく楽しい😂,終始4人が仲良くてたまらなく楽しい😂,もんもん,67,2022-10-26T11:31:23Z,2022-10-26T11:31:23Z
控え目に言って神回！水溜りボンドはやっぱ剛腕だなぁこの企画がYouTube界で流行ってしまいそう,"控え目に言って神回！
水溜りボンドはやっぱ剛腕だなぁ
この企画がYouTube界で流行ってしまいそう",y s,63,2022-10-26T11:57:15Z,2022-10-26T11:57:15Z
語彙力皆無で申し訳ないのですがマジで面白い😂,語彙力皆無で申し訳ないのですがマジで面白い😂,たなゆゆしきゆき,62,2022-10-26T11:16:52Z,2022-10-26T11:16:52Z
