textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
東海オンエアさんは昔から観させていただいてたのでこうゆう形で関わらせていただいて夢のような時間でした！正直とても不安だったのですが、いい経験をさせていただきました！てつやさんありがとうございます🙇‍♂️あとぺけたんではなくべりたんです笑,"東海オンエアさんは昔から観させていただいてたのでこうゆう形で関わらせていただいて
夢のような時間でした！
正直とても不安だったのですが、いい経験をさせていただきました！
てつやさんありがとうございます🙇‍♂️

あとぺけたんではなくべりたんです笑",べりたんらんど,1242,2022-10-25T12:14:53Z,2022-10-25T12:14:53Z
礼儀正しい、常識ある人って見てて気持ちいね、応援してます!!!!!,礼儀正しい、常識ある人って見てて気持ちいね、応援してます!!!!!,_Fly Big,617,2022-10-25T12:17:07Z,2022-10-25T12:17:07Z
やっぱホストやから話上手いなーと思ったけどそれ以上にめっちゃ丁寧でいい人そうなのが良かったな。,やっぱホストやから話上手いなーと思ったけどそれ以上にめっちゃ丁寧でいい人そうなのが良かったな。,慮る,56,2022-10-25T16:02:55Z,2022-10-25T16:02:55Z
おめでとうございます！600万入れるなんて中途半端な気持ちじゃ絶対出来ない。落札者、命名は誰でも、何にしても文句言う輩は絶対出てくるから、そういう馬鹿は無視してこれからも頑張ってください！,"おめでとうございます！
600万入れるなんて中途半端な気持ちじゃ絶対出来ない。落札者、命名は誰でも、何にしても文句言う輩は絶対出てくるから、そういう馬鹿は無視してこれからも頑張ってください！",しーくゎーさー,205,2022-10-25T12:05:49Z,2022-10-25T12:05:49Z
命名した側の動画も見られるとは思わなかった〜！夢を追っかけてる人のシンプルな宣伝めっちゃアリ、頑張ってください！,命名した側の動画も見られるとは思わなかった〜！夢を追っかけてる人のシンプルな宣伝めっちゃアリ、頑張ってください！,かぷやき,512,2022-10-25T11:51:48Z,2022-10-25T11:51:48Z
100億くらい持ってる人がポンって出したお金じゃないんだって思うと好感ある。成功して欲しい。,100億くらい持ってる人がポンって出したお金じゃないんだって思うと好感ある。成功して欲しい。,おもち,486,2022-10-25T13:28:27Z,2022-10-25T13:28:27Z
ホストだからかイケメンで喋るのもうまいからこれで見てくれる人増えたらもっと人気になりそう,ホストだからかイケメンで喋るのもうまいからこれで見てくれる人増えたらもっと人気になりそう,あいD,795,2022-10-25T12:04:47Z,2022-10-25T12:04:47Z
こういうしっかりとした考えを持った人がチャンスを掴めるんだと改めて思いました。落札おめでとうございます！,"こういうしっかりとした考えを持った人がチャンスを掴めるんだと改めて思いました。
落札おめでとうございます！",いち,195,2022-10-25T12:26:21Z,2022-10-25T12:26:21Z
緊張しててこれだけしっかり話せるのはすごい…！落札おめでとうございます✨,緊張しててこれだけしっかり話せるのはすごい…！落札おめでとうございます✨,まゆ,109,2022-10-25T13:29:19Z,2022-10-25T13:29:26Z
普通にホストってめちゃくちゃ感じ良い人ばっかだから尊敬してる,普通にホストってめちゃくちゃ感じ良い人ばっかだから尊敬してる,H M,324,2022-10-25T12:25:24Z,2022-10-25T12:25:24Z
今回の落札で初めて動画みたけど、話うまいし、普通にいい人そうだし、イタズラ落札じゃないっていうのが何より素晴らしい。応援してます！頑張ってください😌,今回の落札で初めて動画みたけど、話うまいし、普通にいい人そうだし、イタズラ落札じゃないっていうのが何より素晴らしい。応援してます！頑張ってください😌,なお,159,2022-10-25T12:35:43Z,2022-10-25T12:35:43Z
話面白いし、顔がいいし、編集もしっかりしてあって動画みやすいしで、伸びそう！！！！！！！頑張ってください！！,話面白いし、顔がいいし、編集もしっかりしてあって動画みやすいしで、伸びそう！！！！！！！頑張ってください！！,くらの,80,2022-10-25T12:51:34Z,2022-10-25T12:51:34Z
東海好き、きょも好き。一緒で親近感しかない。ミナミはよく行くけどホストは未経験だから勉強してから勇気が出れば伺いたいです！人間的にすごく惹かれました！,東海好き、きょも好き。一緒で親近感しかない。ミナミはよく行くけどホストは未経験だから勉強してから勇気が出れば伺いたいです！人間的にすごく惹かれました！,nene k,29,2022-10-25T12:26:33Z,2022-10-25T12:26:33Z
