textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
この聞き方いいよな本人もそこ目指したオフになるしそれをどう評価されるか楽しみにもなる,"この聞き方いいよな
本人もそこ目指したオフになるしそれをどう評価されるか楽しみにもなる",モルボル,126,2022-10-25T12:03:34Z,2022-10-25T12:03:34Z
ほんと江越が覚醒したら最強の1番になると思うから来年期待してるぞ！！！,ほんと江越が覚醒したら最強の1番になると思うから来年期待してるぞ！！！,a a,378,2022-10-25T11:40:57Z,2022-10-25T11:40:57Z
走・守・肩の三拍子揃ったロマン砲とNPB最速候補のリリーフがパリーグで活躍することを祈っています,走・守・肩の三拍子揃ったロマン砲とNPB最速候補のリリーフがパリーグで活躍することを祈っています,とらおペプシ,90,2022-10-25T11:56:20Z,2022-10-25T11:56:20Z
阪神ファンとして本当に頑張ってほしい、2人とも本当にいいもの持ってるから新庄監督に引き出してほしいなぁ,阪神ファンとして本当に頑張ってほしい、2人とも本当にいいもの持ってるから新庄監督に引き出してほしいなぁ,ガンジン野田,213,2022-10-25T11:51:20Z,2022-10-25T11:51:20Z
勝つことが楽しいチームになることを願う。,勝つことが楽しいチームになることを願う。,中日巨人,25,2022-10-25T11:52:04Z,2022-10-25T11:52:04Z
こうゆう監督とても良い‼️,こうゆう監督とても良い‼️,スマイル,119,2022-10-25T11:38:54Z,2022-10-25T11:38:54Z
本人の希望を聞くのも大事だし、それに対して首脳陣は適性があるかを評価していく。すごい大事なことだよね。,本人の希望を聞くのも大事だし、それに対して首脳陣は適性があるかを評価していく。すごい大事なことだよね。,masa O,25,2022-10-25T12:50:30Z,2022-10-25T12:50:30Z
｢頑張っちゃダメだから｣なんてなかなか言えないよなぁ〜。さすが元BIGBOSS新庄監督ですわ。江越はボールに当たりさえすればエゲツない打球を飛ばしますので新庄監督の金言でキッカケを掴んで新天地北海道で大活躍をして欲しい。,"｢頑張っちゃダメだから｣なんて
なかなか言えないよなぁ〜。
さすが元BIGBOSS新庄監督ですわ。
江越はボールに当たりさえすれば
エゲツない打球を飛ばしますので
新庄監督の金言でキッカケを掴んで
新天地北海道で大活躍をして欲しい。",drbreathe,24,2022-10-25T12:21:46Z,2022-10-25T12:21:46Z
ミート以外完璧とコントロール以外完璧のポテンシャルの塊だから、まじで応援する,ミート以外完璧とコントロール以外完璧のポテンシャルの塊だから、まじで応援する,ra sasa,21,2022-10-25T15:08:40Z,2022-10-25T15:08:40Z
こーゆう監督だとやる気出るし胴上げしたくなるなぁ！,こーゆう監督だとやる気出るし胴上げしたくなるなぁ！,乾燥肌のもつ煮,28,2022-10-25T12:30:06Z,2022-10-25T12:30:06Z
二人とも頑張っ．．．楽しんでな( ﾟーﾟ)今までありがとう,"二人とも頑張っ．．．楽しんでな( ﾟーﾟ)
今までありがとう",阪神ファン,45,2022-10-25T11:49:52Z,2022-10-25T11:49:52Z
江越、齋藤両選手が新天地の新球場で躍動する姿を願ってます！！,江越、齋藤両選手が新天地の新球場で躍動する姿を願ってます！！,SUPERCALIFRAGILISTICEXPIALIDOCIOUS,30,2022-10-25T11:51:52Z,2022-10-25T11:51:52Z
こうなったら江越には大覚醒してもらって、阪神戦で打ちまくって盛大な恩返しをしてもらいたい！,こうなったら江越には大覚醒してもらって、阪神戦で打ちまくって盛大な恩返しをしてもらいたい！,かみがかり,148,2022-10-25T11:38:39Z,2022-10-25T11:38:39Z
