textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
なんか今日の動画すごい良かった。それぞれのアイデアが沢山見れたし、十字架鬼ごっこみたいな理不尽さも怪我もないし、丁度良い褒美もあるし、経験者同士だから分かる辛さとか笑いとか色々含めて、凄い良かった,なんか今日の動画すごい良かった。それぞれのアイデアが沢山見れたし、十字架鬼ごっこみたいな理不尽さも怪我もないし、丁度良い褒美もあるし、経験者同士だから分かる辛さとか笑いとか色々含めて、凄い良かった,へいへい,1120,2022-10-25T13:05:45Z,2022-10-25T13:05:45Z
たつ兄オシャレなジャージ汚れてもてつやのこと褒めたり励ましたりしてんのいい人すぎるやん、、,たつ兄オシャレなジャージ汚れてもてつやのこと褒めたり励ましたりしてんのいい人すぎるやん、、,nano,301,2022-10-26T03:33:39Z,2022-10-26T03:33:39Z
てつや、１回目で頭を動かさないようにするっていう超重要なポイントを押さえてるのに、２、３回目でその基本を全く無視してるの面白すぎる,てつや、１回目で頭を動かさないようにするっていう超重要なポイントを押さえてるのに、２、３回目でその基本を全く無視してるの面白すぎる,水溜り支部,375,2022-10-26T03:51:39Z,2022-10-26T03:51:39Z
たつ兄「あと3分だよてつや！」てつや「ﾅﾜﾊﾞﾘｲｯｶｲﾌﾞﾝ~♪」が好きすぎて何回も見ちゃう,"たつ兄「あと3分だよてつや！」
てつや「ﾅﾜﾊﾞﾘｲｯｶｲﾌﾞﾝ~♪」

が好きすぎて何回も見ちゃう",りんりん,751,2022-10-26T03:44:22Z,2022-10-26T03:44:22Z
シンプルな企画にメンバーが全力で取り組んでるのを見るとなんか懐かしさを感じるし嬉しい,シンプルな企画にメンバーが全力で取り組んでるのを見るとなんか懐かしさを感じるし嬉しい,Rikuto,146,2022-10-25T20:42:41Z,2022-10-25T20:42:41Z
なんだか懐かしさのある企画。編集や音楽も東海らしさ炸裂！でもゆめまるの背景にベビー用品、りょうくんの立派な部屋、てつやの指輪、タツ兄やバディさんの参加など、大人になり変わっていった部分が垣間見えて、９年の時の経過をしみじみ感じた動画だった。この素朴なおもしろさはそのまま維持してるのすごい。,なんだか懐かしさのある企画。編集や音楽も東海らしさ炸裂！でもゆめまるの背景にベビー用品、りょうくんの立派な部屋、てつやの指輪、タツ兄やバディさんの参加など、大人になり変わっていった部分が垣間見えて、９年の時の経過をしみじみ感じた動画だった。この素朴なおもしろさはそのまま維持してるのすごい。,ねっこB,1451,2022-10-25T14:12:44Z,2022-10-25T17:35:21Z
こんなに面白い動画になると思わなかった。東海の動画は本当に良い意味で期待を裏切ってくれることが多くて、そこが好きであり続ける理由だなと思った。3人とも本当に拷問お疲れ様でした！！！,こんなに面白い動画になると思わなかった。東海の動画は本当に良い意味で期待を裏切ってくれることが多くて、そこが好きであり続ける理由だなと思った。3人とも本当に拷問お疲れ様でした！！！,音フェチまっぱる,43,2022-10-25T19:52:17Z,2022-10-25T19:52:17Z
急に呼ばれた末『回転俳優』などと言われ、ひたすらキツイ回しの作業をさせられ続けるのに『すごいぞ！てつや！』とか言っちゃう岸田さんにMVPをあげたい。東海は企画のために他人を面白く雑に扱っちゃうからいいのよね。大人達が全力でくだらないことしてるって言うのが、最高なんだよね。,"急に呼ばれた末『回転俳優』などと言われ、ひたすらキツイ回しの作業をさせられ続けるのに『すごいぞ！てつや！』とか言っちゃう岸田さんにMVPをあげたい。
東海は企画のために他人を面白く雑に扱っちゃうからいいのよね。大人達が全力でくだらないことしてるって言うのが、最高なんだよね。",フランシス子ザビ子,258,2022-10-26T00:49:36Z,2022-10-26T00:58:30Z
ゆめまるの企画、十字架じゃないし、ご褒美もらえるし、何かと配慮されててこれはこれで好き、、、,"ゆめまるの企画、十字架じゃないし、
ご褒美もらえるし、
何かと配慮されててこれはこれで好き、、、",こも,121,2022-10-26T06:26:58Z,2022-10-26T06:26:58Z
これ見てたら、ゆめまるはトップでガツンと行くタイプじゃないけれど、東海が突っ走りそうになった時の抜け要素何とというか、いい意味で本来の面白さを思い出させてくれるめっちゃいい存在。みんながみんなキツキツの面白さを提供すればいいってもんじゃない。ゆるい面白っていう要素は意外と出すのが難しかったりする。,"これ見てたら、ゆめまるはトップでガツンと行くタイプじゃないけれど、
東海が突っ走りそうになった時の
抜け要素何とというか、
いい意味で本来の面白さを思い出させてくれるめっちゃいい存在。
みんながみんなキツキツの面白さを提供すればいいってもんじゃない。
ゆるい面白っていう要素は
意外と出すのが難しかったりする。",こも,97,2022-10-26T06:31:25Z,2022-10-26T06:31:25Z
