textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
藤川さんが球団と話せながら外も見れる立場なの、素晴らしい。外から見た阪神の良い点悪い点を意見して貰えてたら、今後良くなるに決まってる。引退まで阪神でプレーして頂いて本当に感謝です。藤川さんのメジャー帰りを獲得した球団にも感謝。,"藤川さんが球団と話せながら外も見れる立場なの、素晴らしい。
外から見た阪神の良い点悪い点を意見して貰えてたら、今後良くなるに決まってる。
引退まで阪神でプレーして頂いて本当に感謝です。
藤川さんのメジャー帰りを獲得した球団にも感謝。",ましっそよ,17,2022-10-25T14:55:42Z,2022-10-25T14:56:08Z
早く藤川さんに入閣をと思っていたけど、まだ今は球団に意見もできつつ、学生や海外、外を広く見られる、そんな立ち位置でこれからの若い人たちの野球を学べる立場が今後の阪神にとっても良いのかなと思います,早く藤川さんに入閣をと思っていたけど、まだ今は球団に意見もできつつ、学生や海外、外を広く見られる、そんな立ち位置でこれからの若い人たちの野球を学べる立場が今後の阪神にとっても良いのかなと思います,アルエRYOMA,316,2022-10-24T09:21:59Z,2022-10-24T09:21:59Z
ここ数年のドラフトは誰もが球団の意図を感じられる方向性のあるもので着実に地力、戦力が積み上がってきているのはファンとしても嬉しいです。今回は高卒選手が多く入ってくるので一人でも多くスケールの大きな選手が育ってくれる事を願って暖かく見守りたいと思います。😊,ここ数年のドラフトは誰もが球団の意図を感じられる方向性のあるもので着実に地力、戦力が積み上がってきているのはファンとしても嬉しいです。今回は高卒選手が多く入ってくるので一人でも多くスケールの大きな選手が育ってくれる事を願って暖かく見守りたいと思います。😊,コロコロ,262,2022-10-24T08:43:33Z,2022-10-24T08:43:33Z
藤川球児さんがSA＝特別補佐として動いていただいているのは非常に素晴らしい。誰を補佐するんだろうかと思っていたけど、全てを補佐しているみたい。スカウトも編成も監督やコーチも、もちろん選手やその家族まで。阪神ファンとしては感謝の気持ちしかありません。チェック内容よりも、藤川さんの役割や球団のドラフトに対する姿勢の変化などがとても参考になりました。特に５巡目あたりのコメントが良い。球児さんに監督でなくて編成部長してほしいぐらい。今岡、鳥谷、藤川それぞれ魅力的な人物になってきていますね。,藤川球児さんがSA＝特別補佐として動いていただいているのは非常に素晴らしい。誰を補佐するんだろうかと思っていたけど、全てを補佐しているみたい。スカウトも編成も監督やコーチも、もちろん選手やその家族まで。阪神ファンとしては感謝の気持ちしかありません。チェック内容よりも、藤川さんの役割や球団のドラフトに対する姿勢の変化などがとても参考になりました。特に５巡目あたりのコメントが良い。球児さんに監督でなくて編成部長してほしいぐらい。今岡、鳥谷、藤川それぞれ魅力的な人物になってきていますね。,F A,69,2022-10-24T15:24:33Z,2022-10-24T15:24:33Z
井坪君を初めて見た時にこれはえぐいわと！とんでもない凄い打球打ってて、ただフォームの肩が入るのが気になっていたんだけど球児さんの話を聞いて納得しました。ほんと変にいじって欲しくないので球児さんが今の役職で球団に意見を言える立場にいてくれてほんと頼もしいし有難い限りです。球児さんの『今の選手は映像で学んできてるから技術論では今のコーチを凌ぐ』って言葉もなるほどですね！,"井坪君を初めて見た時にこれはえぐいわと！
とんでもない凄い打球打ってて、ただフォームの肩が入るのが気になっていたんだけど球児さんの話を聞いて納得しました。
ほんと変にいじって欲しくないので球児さんが今の役職で球団に意見を言える立場にいてくれてほんと頼もしいし有難い限りです。
球児さんの『今の選手は映像で学んできてるから技術論では今のコーチを凌ぐ』って言葉もなるほどですね！",travis tigers,27,2022-10-24T19:32:48Z,2022-10-24T19:32:48Z
藤川さんの野球感をどんどん若者に伝えていって欲しい！楽しみすぎる！,藤川さんの野球感をどんどん若者に伝えていって欲しい！楽しみすぎる！,やすき,93,2022-10-24T11:27:11Z,2022-10-24T11:27:11Z
筒井スカウトと藤川さんの連携良いし、金本矢野政権はほんと阪神がいい方向変わるためのターニングポイントやな藤川さんを現役に引き戻したのも最高だったな,"筒井スカウトと藤川さんの連携良いし、
金本矢野政権はほんと阪神がいい方向変わるためのターニングポイントやな
藤川さんを現役に引き戻したのも最高だったな",細波,89,2022-10-24T12:54:15Z,2022-10-24T12:56:00Z
12:38 筒井スカウトの眼力は凄いですよね！！湯浅だけじゃなく中野も下位で獲得しましたし実績の無い原石から獲得してくれるのは有能なスカウトの証拠！！,"12:38 筒井スカウトの眼力は凄いですよね！！
湯浅だけじゃなく中野も下位で獲得しましたし
実績の無い原石から獲得してくれるのは有能なスカウトの証拠！！",馬番長,156,2022-10-24T12:49:04Z,2022-10-24T12:49:04Z
長所・欠点の指摘が藤川氏は抜群に的確。何に気を付けると該当選手だけでなくこれを視ている若い野球少年の子たちにも体づくりや欠点補強に役立つと思うので是非。,長所・欠点の指摘が藤川氏は抜群に的確。何に気を付けると該当選手だけでなくこれを視ている若い野球少年の子たちにも体づくりや欠点補強に役立つと思うので是非。,senntarouu,185,2022-10-24T07:58:29Z,2022-10-24T07:58:29Z
選手や球団をリスペクトしてるのが言葉の節々から感じ取れてすごく気持ちよく見れるわ。素人にも分かりやすい解説だし、現役の選手とかも解説してほしいな！,"選手や球団をリスペクトしてるのが言葉の節々から感じ取れてすごく気持ちよく見れるわ。

素人にも分かりやすい解説だし、現役の選手とかも解説してほしいな！",はちとら,32,2022-10-24T14:44:58Z,2022-10-24T14:44:58Z
藤川さんって何が良くて何が悪いかの言語化が素晴らしいよね。解説とかYouTube聞いてて納得感が他の方と段違い。これからの阪神にとってめちゃくちゃ大きい存在になってくれそう。,"藤川さんって何が良くて何が悪いかの言語化が素晴らしいよね。

解説とかYouTube聞いてて納得感が他の方と段違い。

これからの阪神にとってめちゃくちゃ大きい存在になってくれそう。",a aaa,20,2022-10-24T23:09:47Z,2022-10-24T23:09:47Z
スカウト「この投手めちゃめちゃええやん…せや！球児さんにも一応聞いてみよ！」これが強すぎる,"スカウト「この投手めちゃめちゃええやん…せや！球児さんにも一応聞いてみよ！」
これが強すぎる",五十嵐広行,258,2022-10-24T09:52:08Z,2022-10-24T09:52:08Z
藤川さんが球団に話せる立場は強すぎるぞ,藤川さんが球団に話せる立場は強すぎるぞ,Nissy,439,2022-10-24T08:53:59Z,2022-10-24T08:53:59Z
球児がなぜあれだけ活躍できて長く投げ続けられたのか、この分析力と解説力を見たらすぐ理解できる,球児がなぜあれだけ活躍できて長く投げ続けられたのか、この分析力と解説力を見たらすぐ理解できる,けんちゃん,168,2022-10-24T09:28:38Z,2022-10-24T09:28:38Z
最近のドラフトの安心感は凄いです、それが生え抜きの最年長が30代前半というところに表れていると思いますスカウト陣に👏あとは他球団を戦力外になった選手もタイガースでもう一花咲かせてますし、本当にいいチームになったと思います😂今後は戦力外になったけど、球児さんの目線でまだ活躍てきるって思う選手も知りたいです,"最近のドラフトの安心感は凄いです、それが生え抜きの最年長が30代前半というところに表れていると思います
スカウト陣に👏
あとは他球団を戦力外になった選手もタイガースでもう一花咲かせてますし、本当にいいチームになったと思います😂
今後は戦力外になったけど、球児さんの目線でまだ活躍てきるって思う選手も知りたいです",ピンキー,37,2022-10-24T12:42:43Z,2022-10-24T12:42:43Z
「ゆっくりゆっくり成長したほうが絶対いいから」　藤川さんがいうと説得力がすごい,"「ゆっくりゆっくり成長したほうが絶対いいから」　
藤川さんがいうと説得力がすごい",soon,20,2022-10-25T00:40:08Z,2022-10-25T00:40:08Z
藤川の分析力がここまで凄いとは。現役時代のスタイルからは想像出来なかった。,"藤川の分析力がここまで凄いとは。
現役時代のスタイルからは想像出来なかった。",エイノトト,5,2022-10-25T14:49:53Z,2022-10-25T14:49:53Z
やっぱり金本アニキの超変革は偉大やったんやな小幡の話凄い共感した！来年はチャンス沢山与えられると思うから何とかモノにして欲しいねあの守備はやっぱり魅力的,"やっぱり金本アニキの超変革は偉大やったんやな
小幡の話凄い共感した！来年はチャンス沢山与えられると思うから何とかモノにして欲しいね
あの守備はやっぱり魅力的",ヒコ,140,2022-10-24T09:28:25Z,2022-10-24T09:28:25Z
中大生として、中大の選手が他球団(特に巨人)で活躍してるのを凄い複雑な心境で見てたから、森下が阪神に来てくれて本当嬉しい。来年絶対森下のユニフォームとタオル買って現地行く。,中大生として、中大の選手が他球団(特に巨人)で活躍してるのを凄い複雑な心境で見てたから、森下が阪神に来てくれて本当嬉しい。来年絶対森下のユニフォームとタオル買って現地行く。,あ,153,2022-10-24T09:36:59Z,2022-10-24T12:34:39Z
夏の新潟予選見たけど、茨木選手はまじで良い。投げ方に癖が少なく、しなやかでコントロールも良い、スピードはまだまだだけど150キロ以上出る素養もあるし同じ新潟の日本文理田中投手より期待！！,夏の新潟予選見たけど、茨木選手はまじで良い。投げ方に癖が少なく、しなやかでコントロールも良い、スピードはまだまだだけど150キロ以上出る素養もあるし同じ新潟の日本文理田中投手より期待！！,SS 5GL,91,2022-10-24T09:12:27Z,2022-10-24T09:12:27Z
藤川さんのノウハウや考え方ってめちゃくちゃ凄いから、それを他球団には内緒にしておいて欲しいし、今回ちょっとシークレットにしてくれてて良かった,藤川さんのノウハウや考え方ってめちゃくちゃ凄いから、それを他球団には内緒にしておいて欲しいし、今回ちょっとシークレットにしてくれてて良かった,HK,94,2022-10-24T10:27:58Z,2022-10-24T10:27:58Z
