textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
前にどなたかが言ってましたけど本当息を吐く様に名曲ばっかり作りますよねー！！とにかく振り幅が凄いし、ファンを飽きさせない😊同じ時代を過ごせる幸せ。,前にどなたかが言ってましたけど本当息を吐く様に名曲ばっかり作りますよねー！！とにかく振り幅が凄いし、ファンを飽きさせない😊同じ時代を過ごせる幸せ。,アヤケイバンク,66,2022-10-25T19:42:25Z,2022-10-25T19:43:33Z
もう無理言うけど、次のツアーこのアルバム全部歌ってほしい、本当にそれくらい楽しみにしてるよ！！桑田さん、よろしく！,もう無理言うけど、次のツアーこのアルバム全部歌ってほしい、本当にそれくらい楽しみにしてるよ！！桑田さん、よろしく！,Takataka,42,2022-10-25T23:10:48Z,2022-10-25T23:10:48Z
楽しい時も辛い時も、いつも傍には桑田さんの歌が寄り添ってくれています。いつも支えてくれて、本当にありがとうございます。アルバムもライブも楽しみにしています！,"楽しい時も辛い時も、いつも傍には桑田さんの歌が寄り添ってくれています。
いつも支えてくれて、本当にありがとうございます。
アルバムもライブも楽しみにしています！",kh,50,2022-10-25T22:26:07Z,2022-10-25T22:26:07Z
本当に名曲しか作れない男ですね!凄すぎます!桑田さんにはいつもパワーをもらってます💪✨楽しみにしてます(^o^),"本当に名曲しか作れない男ですね!
凄すぎます!
桑田さんにはいつもパワーをもらってます💪✨楽しみにしてます(^o^)",スケトラマン,18,2022-10-26T00:37:54Z,2022-10-26T00:37:54Z
新曲が出るたびに生きる希望を与えてくれる桑田さんに本当に感謝です😊,新曲が出るたびに生きる希望を与えてくれる桑田さんに本当に感謝です😊,つかっぴぃ,48,2022-10-25T22:36:12Z,2022-10-25T22:36:12Z
中学生の頃、ファンになって40年。学生、社会人、結婚して妻となり、母となり。私の人生にはいつもサザンが、桑田さんがいました。楽しい時も苦しい時も。同じ時代に産まれて本当によかった。ライブ楽しみにしています。,"中学生の頃、ファンになって40年。
学生、社会人、結婚して妻となり、母となり。
私の人生にはいつもサザンが、桑田さんがいました。
楽しい時も苦しい時も。
同じ時代に産まれて本当によかった。
ライブ楽しみにしています。",butano warutu,30,2022-10-25T23:54:58Z,2022-10-25T23:54:58Z
曲のパワーが、声のぬくもりが、言葉のあたたかさが、ともに生きてきた時代を肯定してくれる。まさに人生のサウンドトラック。,曲のパワーが、声のぬくもりが、言葉のあたたかさが、ともに生きてきた時代を肯定してくれる。まさに人生のサウンドトラック。,青木朋博,22,2022-10-25T21:24:16Z,2022-10-25T21:24:16Z
いい曲がありすぎて凄すぎる！！,いい曲がありすぎて凄すぎる！！,マサやん,39,2022-10-25T21:05:10Z,2022-10-25T21:05:10Z
改めてこうして1つのアルバムに固められると、桑田さんの音楽の幅広さ、そしてどれも耳に残る素晴らしいメロディばかりなのがよくわかる。日本の音楽史に残る最強のベストアルバムではないでしょうか。ライブも当たるまで挑戦し続けます！！！,改めてこうして1つのアルバムに固められると、桑田さんの音楽の幅広さ、そしてどれも耳に残る素晴らしいメロディばかりなのがよくわかる。日本の音楽史に残る最強のベストアルバムではないでしょうか。ライブも当たるまで挑戦し続けます！！！,まさ,10,2022-10-26T11:01:28Z,2022-10-26T11:01:28Z
桑田さんの影響力って本当に凄くいつも力もらってます！これからも応援してます！！！ずっとリスペクトです！,"桑田さんの影響力って本当に凄くいつも力もらってます！
これからも応援してます！！！
ずっとリスペクトです！",中村駿輔,9,2022-10-26T08:10:33Z,2022-10-26T08:10:33Z
