textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
"Y’all gotta make a full version, the song feels unfinished and it feels like it has so much potential. It’s already great and I feel like it could be even greater!","Y’all gotta make a full version, the song feels unfinished and it feels like it has so much potential. It’s already great and I feel like it could be even greater!",Cucumber Watermelon,223,2022-10-26T02:26:11Z,2022-10-26T02:26:11Z
"Me encantan, su estilo, su música son los mejores haciendo lo que hacen","Me encantan, su estilo, su música son los mejores haciendo lo que hacen",Alex Ushiha,4,2022-10-26T15:38:10Z,2022-10-26T15:38:10Z
時代について行くというか、求められてるものをいつも期待以上で持ってきてくれるバンドだなぁ。ほんと最高です。,"時代について行くというか、求められてるものをいつも期待以上で持ってきてくれるバンドだなぁ。
ほんと最高です。",ロッキューロッキュー,222,2022-10-26T03:37:23Z,2022-10-26T03:37:23Z
ホルモンと初めて出会ってから今まで曲のクオリティーが一切下がること無く毎回最高を更新してくれるのほんとに拍手しかない,ホルモンと初めて出会ってから今まで曲のクオリティーが一切下がること無く毎回最高を更新してくれるのほんとに拍手しかない,inu neco,685,2022-10-26T01:46:29Z,2022-10-26T01:46:29Z
You guys did phenomenal on the episode 3 ending. Best ending so far!,You guys did phenomenal on the episode 3 ending. Best ending so far!,Erick Washington,14,2022-10-26T12:10:12Z,2022-10-26T12:10:12Z
チェンソーマンのイカレ具合が表現されすぎてて鳥肌止まりませんでした。最高です,チェンソーマンのイカレ具合が表現されすぎてて鳥肌止まりませんでした。最高です,やぐち,90,2022-10-26T08:19:31Z,2022-10-26T08:19:31Z
今まで数多くのタイアップとかしてきてるのにメンバーみんな集まってアニメリアタイして自分たちの曲が流れるのを今か今かとソワソワしながら待ってる初心忘れないところ可愛すぎですね！,今まで数多くのタイアップとかしてきてるのにメンバーみんな集まってアニメリアタイして自分たちの曲が流れるのを今か今かとソワソワしながら待ってる初心忘れないところ可愛すぎですね！,花子山田,76,2022-10-26T10:41:58Z,2022-10-26T10:41:58Z
Muy buen grupo 🇲🇽,Muy buen grupo 🇲🇽,Miguel Verde,58,2022-10-26T04:50:50Z,2022-10-26T04:50:50Z
I would say the best ending of the year,I would say the best ending of the year,Moko !,53,2022-10-26T01:36:51Z,2022-10-26T01:36:51Z
ナオちゃんの可愛い声で油断させてサビにいく流れ好き,ナオちゃんの可愛い声で油断させてサビにいく流れ好き,akiyuki,171,2022-10-26T02:39:25Z,2022-10-26T02:39:25Z
めちゃくちゃ最高でした！！早く劇中で挿入歌として流れるのが見たいです！！ドラゴンボールの時みたいにブチ上がりそう,"めちゃくちゃ最高でした！！
早く劇中で挿入歌として流れるのが見たいです！！ドラゴンボールの時みたいにブチ上がりそう",HARUKA,34,2022-10-26T03:56:36Z,2022-10-26T03:56:36Z
こんな素晴らしい楽曲を提供された直後にこのアットホームな企画最高です笑,こんな素晴らしい楽曲を提供された直後にこのアットホームな企画最高です笑,Yuki,118,2022-10-26T02:31:59Z,2022-10-26T02:31:59Z
サブスク解禁でもものすごくこだわる所が真のコッテリ。で、上ちゃんは笑っているだけの安定感動画w,サブスク解禁でもものすごくこだわる所が真のコッテリ。で、上ちゃんは笑っているだけの安定感動画w,あっこ,29,2022-10-26T03:56:26Z,2022-10-26T03:56:26Z
CDを知らない世代にも人権を‼︎は笑いました笑2曲だけでも嬉しいです！！！ありがとうございます！！！早速ダウンロードして来ます！！！,"CDを知らない世代にも人権を‼︎は笑いました笑
2曲だけでも嬉しいです！！！
ありがとうございます！！！
早速ダウンロードして来ます！！！",やまおかりゅうが,59,2022-10-26T01:53:31Z,2022-10-26T01:53:31Z
Loved the ending song for Chainsaw Man episode 3!,Loved the ending song for Chainsaw Man episode 3!,Kyailu,51,2022-10-26T02:16:41Z,2022-10-26T02:16:41Z
流れた瞬間嬉しすぎて空いた口が閉じれませんでした。最高の曲ありがとうございます,流れた瞬間嬉しすぎて空いた口が閉じれませんでした。最高の曲ありがとうございます,ぺっこり450度,89,2022-10-26T02:09:41Z,2022-10-26T02:09:41Z
"Can't wait to hear the full version, greetings from Mexico and thanks for you work, very bold composition. 🔥","Can't wait to hear the full version, greetings from Mexico and thanks for you work, very bold composition. 🔥",Gustavo Castro,3,2022-10-27T03:02:37Z,2022-10-27T03:02:37Z
