textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
毎回毎回マイナーポケモンを構築単位から練って活躍させるの本当に凄すぎる,毎回毎回マイナーポケモンを構築単位から練って活躍させるの本当に凄すぎる,陽岱鋼【年内100人】,31,2022-10-26T13:46:56Z,2022-10-26T13:46:56Z
序盤お互いに神読み決めまくってたのに、後半両方ぐっだぐだで草w ボルケニオンのスチームバースト急所でめちゃ笑いましたw,序盤お互いに神読み決めまくってたのに、後半両方ぐっだぐだで草w ボルケニオンのスチームバースト急所でめちゃ笑いましたw,ガフ教の教祖ガフ,47,2022-10-26T12:49:15Z,2022-10-26T12:49:15Z
バンビーさんコラボで大活躍だったボルケニオンさんでさえ救いが必要とは…あとレギュラー全員集合絵とドヤ顔虚さんが可愛い。,"バンビーさんコラボで大活躍だったボルケニオンさんでさえ救いが必要とは…

あとレギュラー全員集合絵とドヤ顔虚さんが可愛い。",凪,35,2022-10-26T12:54:52Z,2022-10-26T12:56:23Z
ナンジャモが配信者とコラボする企画自体はめっちゃ面白そう。,ナンジャモが配信者とコラボする企画自体はめっちゃ面白そう。,Dドラゴン,29,2022-10-26T12:20:43Z,2022-10-26T12:20:43Z
結構ちゃんと呪術読んでる人の繋げ方しててすき,結構ちゃんと呪術読んでる人の繋げ方しててすき,粗熱をとる,14,2022-10-26T12:37:19Z,2022-10-26T12:37:19Z
ボルケニオンがカロス発電所にいるっていうデマに合わせて冒頭のbgmを13番道路にしてる神饅頭,ボルケニオンがカロス発電所にいるっていうデマに合わせて冒頭のbgmを13番道路にしてる神饅頭,ポケモン界最強の蛾,336,2022-10-26T11:17:38Z,2022-10-26T11:17:38Z
スチームバースト外すの予想通りすぎて笑った,スチームバースト外すの予想通りすぎて笑った,まほろ ray,10,2022-10-26T12:45:03Z,2022-10-26T12:45:03Z
ワザップジョルノコピペ、触れられないなと思っていたら最後の方で拾ってくれて嬉しい,ワザップジョルノコピペ、触れられないなと思っていたら最後の方で拾ってくれて嬉しい,papapa ndoki,54,2022-10-26T11:36:34Z,2022-10-26T11:36:34Z
スチームバーストがあんな高圧洗浄機みたいなのって、本当はダイストリームみたいに山吹っ飛ばせるけど相手の事考えて手加減してる説を推したい,スチームバーストがあんな高圧洗浄機みたいなのって、本当はダイストリームみたいに山吹っ飛ばせるけど相手の事考えて手加減してる説を推したい,リック魔王の弟,5,2022-10-26T15:57:37Z,2022-10-26T15:57:37Z
誰かのドロポンと違ってちゃんと出るとこしっかりしてるし、2本出てるしエフェクトは結構気にいってる,誰かのドロポンと違ってちゃんと出るとこしっかりしてるし、2本出てるしエフェクトは結構気にいってる,おじさん,10,2022-10-26T13:17:22Z,2022-10-26T13:17:22Z
