textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
たくま気付いたのに面接進めてて優しいな笑未来チャンネル観てるから初期っぽい久しぶりのかわいいドッキリだな！,"たくま気付いたのに面接進めてて優しいな笑
未来チャンネル観てるから初期っぽい久しぶりのかわいいドッキリだな！",sopipo76,180,2022-10-25T10:12:23Z,2022-10-25T10:12:23Z
美月ちゃんだけ笑わないで仕掛け人できてるからドッキリ向いてる,美月ちゃんだけ笑わないで仕掛け人できてるからドッキリ向いてる,星野鉄郎,103,2022-10-25T11:14:08Z,2022-10-25T11:14:08Z
吉田君あいかわらずピュアで鈍感で笑う,吉田君あいかわらずピュアで鈍感で笑う,shun O.,63,2022-10-25T16:05:13Z,2022-10-25T16:05:13Z
スマホの場所、バレやすすぎなのも引っくるめてかわいいで済む！女子の特権！名コンビや！吉田くんお爺ちゃん扱い面白すぎたｗ未来くんはゲラっていうより企画力でわかるように想像力豊かすぎて笑っちゃうんですね,"スマホの場所、バレやすすぎなのも引っくるめてかわいいで済む！女子の特権！名コンビや！
吉田くんお爺ちゃん扱い面白すぎたｗ
未来くんはゲラっていうより企画力でわかるように想像力豊かすぎて笑っちゃうんですね",こう,37,2022-10-25T10:19:51Z,2022-10-25T10:19:51Z
ミクルさん笑いこらえてるのが1番面白い笑,ミクルさん笑いこらえてるのが1番面白い笑,グリーン,113,2022-10-25T10:56:52Z,2022-10-25T10:56:52Z
めっちゃ面白いしやっぱ華があって見てて幸せだわ笑欲を言えば、吉田くんが気づいた瞬間の画角も欲しかったな〜,"めっちゃ面白いしやっぱ華があって見てて幸せだわ笑
欲を言えば、吉田くんが気づいた瞬間の画角も欲しかったな〜",こはく,48,2022-10-25T10:28:30Z,2022-10-25T10:28:30Z
可愛いドッキリ！徐々にレベルを上げていきましょ。いつか未来さんにドッキリ倍仕返しできるように〜,可愛いドッキリ！徐々にレベルを上げていきましょ。いつか未来さんにドッキリ倍仕返しできるように〜,tk sm,37,2022-10-25T10:40:25Z,2022-10-25T10:40:25Z
美月ちゃんかわいいのう🥰目の保養でしかないからの、みっくん見てたらこっちまで幸せになる件について。仮に朝倉未来なりのなんらかのブランディングというテイにしても、美月ちゃんが居てる空間のみっくんが果てしなく可愛くて、にやにやがとまらんwww,"美月ちゃんかわいいのう🥰
目の保養でしかない

からの、みっくん見てたらこっちまで幸せになる件について。仮に朝倉未来なりのなんらかのブランディングというテイにしても、美月ちゃんが居てる空間のみっくんが果てしなく可愛くて、にやにやがとまらんwww",ym_ym,31,2022-10-25T12:17:28Z,2022-10-25T12:17:28Z
すっぴんも黒髪もめちゃくちゃ可愛いし、前よりも綺麗になった気がします。未来さん、美月ちゃんや仲間に本当に優しくて、良い仲間だって清々しい気持ちになれます✨,"すっぴんも黒髪もめちゃくちゃ可愛いし、前よりも綺麗になった気がします。
未来さん、美月ちゃんや仲間に本当に優しくて、良い仲間だって清々しい気持ちになれます✨",shino y,53,2022-10-25T11:04:47Z,2022-10-25T11:04:47Z
銀の盾おめでとう！！！可愛いドッキリでほのぼのした笑笑みんなの最初の反応が面白すぎた😂暗い髪色でも美月ちゃん可愛いすぎる👍🏻,銀の盾おめでとう！！！可愛いドッキリでほのぼのした笑笑みんなの最初の反応が面白すぎた😂暗い髪色でも美月ちゃん可愛いすぎる👍🏻,おむらいす,7,2022-10-25T22:24:04Z,2022-10-25T22:25:43Z
吉田くんが最後まで気づかないのがすごい(笑)美月ちゃんのかわいさはやっぱり無敵でした！！,吉田くんが最後まで気づかないのがすごい(笑)美月ちゃんのかわいさはやっぱり無敵でした！！,しゅんぴょん814,99,2022-10-25T10:24:19Z,2022-10-25T10:24:19Z
黒髪の美月さん可愛い✨笑い過ぎの未来さんみて笑いが止まらなかった😂,黒髪の美月さん可愛い✨笑い過ぎの未来さんみて笑いが止まらなかった😂,ラッコ,20,2022-10-25T11:12:40Z,2022-10-25T11:12:40Z
この企画めっちゃ面白いwww吉田君だけ気づかないの最高wそして美月ちゃんかわいすぎ😂,"この企画めっちゃ面白いwww
吉田君だけ気づかないの最高w
そして美月ちゃんかわいすぎ😂",こた_,17,2022-10-25T14:00:02Z,2022-10-25T14:00:02Z
面白いけどバレてるのにボツにしないあたり可愛い,面白いけどバレてるのにボツにしないあたり可愛い,Breaking Down 切り抜きなど,36,2022-10-25T10:19:07Z,2022-10-25T10:19:07Z
たまにはこういうドッキリもいいね！,たまにはこういうドッキリもいいね！,PEACE NOT WAR,12,2022-10-25T11:34:28Z,2022-10-25T11:34:28Z
伊師さんも笑っちゃったらバレバレ美月ちゃん黒髪が大人ぽくていいね,"伊師さんも笑っちゃったらバレバレ
美月ちゃん黒髪が大人ぽくていいね",プレイヤー,48,2022-10-25T11:05:47Z,2022-10-25T11:05:47Z
金髪も似合うし、黒髪も似合ってるぅぅぅ。これは未来さんも惚れますよ😂,"金髪も似合うし、黒髪も似合ってるぅぅぅ。
これは未来さんも惚れますよ😂",チョンニーニ松原,17,2022-10-25T12:30:38Z,2022-10-25T12:30:38Z
たくまくんが慶応⁈って言ったときの未来くんの笑い顔が最高過ぎ🤣,たくまくんが慶応⁈って言ったときの未来くんの笑い顔が最高過ぎ🤣,ケイケイ,5,2022-10-26T06:59:47Z,2022-10-26T06:59:47Z
マジで何しても可愛いの草,マジで何しても可愛いの草,キンタロス,29,2022-10-25T10:37:54Z,2022-10-25T10:37:54Z
みんなの雰囲気がワキアイアイとしていて動画を見ていて癒されたよ☺️,みんなの雰囲気がワキアイアイとしていて動画を見ていて癒されたよ☺️,将典 森内,8,2022-10-25T14:56:09Z,2022-10-25T14:56:09Z
いやかわいすぎるドッキリたくさんみたいw,"いやかわいすぎる
ドッキリたくさんみたいw",昼食ミルクティー,21,2022-10-25T11:09:52Z,2022-10-25T11:10:03Z
美月ちゃんもみくるくん達も楽しそうで見ててホッコリ❤,美月ちゃんもみくるくん達も楽しそうで見ててホッコリ❤,nya,11,2022-10-25T15:34:26Z,2022-10-25T15:34:26Z
なんだこの楽しそうな職場は…羨ましすぎる,なんだこの楽しそうな職場は…羨ましすぎる,遠かりし今,19,2022-10-25T11:40:13Z,2022-10-25T11:40:13Z
美月ちゃんって仕草が小動物みたい🐶🐶可愛すぎる💕💕💕,美月ちゃんって仕草が小動物みたい🐶🐶可愛すぎる💕💕💕,きなこもち,27,2022-10-25T11:03:55Z,2022-10-25T11:03:55Z
短い動画で簡潔にやってくれてとても楽しめましたm(*_ _)m,短い動画で簡潔にやってくれてとても楽しめましたm(*_ _)m,オオカミ,9,2022-10-25T11:59:37Z,2022-10-25T11:59:37Z
絶対に黒髪のほうが清楚で知的なイメージになるし未来のタイプだと思う,絶対に黒髪のほうが清楚で知的なイメージになるし未来のタイプだと思う,電影少女 ビデオガール,13,2022-10-25T11:06:02Z,2022-10-25T11:06:02Z
美月ちゃん、可愛いし人柄がほんといい！こんな子中々いないと思いますよ！,美月ちゃん、可愛いし人柄がほんといい！こんな子中々いないと思いますよ！,しま しま,5,2022-10-26T08:31:33Z,2022-10-26T08:31:33Z
未来さんの隠せない表情が見ててニヤニヤします(笑)美月ちゃんも本当にかわいすぎるっ♥️黒髪でも美人さんだし本当同じ女性としても毎回キュンキュンします😍👍💞,"未来さんの隠せない表情が見ててニヤニヤします(笑)
美月ちゃんも本当にかわいすぎるっ♥️黒髪でも美人さんだし本当同じ女性としても毎回キュンキュンします😍👍💞",ミィチュウ,15,2022-10-25T10:58:47Z,2022-10-25T10:58:47Z
美月ちゃん黒髪ロングも超似合う😊❤️🫶途中ミクルさんがニヤニヤしてる😂,美月ちゃん黒髪ロングも超似合う😊❤️🫶途中ミクルさんがニヤニヤしてる😂,CHI,20,2022-10-25T12:00:19Z,2022-10-25T12:01:13Z
すっぴんも可愛い！！！みづきちゃん最強やー！！！！！,"すっぴんも可愛い！！！
みづきちゃん最強やー！！！！！",しん もと,7,2022-10-25T14:34:11Z,2022-10-25T14:34:11Z
全員で面接してるんですね。緊張するわ。ドッキリに敏感な吉田くんだけでも騙し通せて、見事でした。黒髪も似合ってましたね。,"全員で面接してるんですね。
緊張するわ。

ドッキリに敏感な吉田くんだけでも騙し通せて、見事でした。
黒髪も似合ってましたね。",としみっつ,51,2022-10-25T11:16:52Z,2022-10-25T11:16:52Z
待ってくれ！！！黒髪でもかわいいんかい！！！くっそ美人になるんかい！！！,待ってくれ！！！黒髪でもかわいいんかい！！！くっそ美人になるんかい！！！,こう,353,2022-10-25T10:03:59Z,2022-10-25T10:03:59Z
どんな髪型も 髪色も似合っちゃう美月ちゃんの その顔面 うらやましすぎる🥹💕💕💕,"どんな髪型も 髪色も似合っちゃう
美月ちゃんの その顔面 うらやましすぎる🥹💕💕💕",Qoo la te,11,2022-10-25T12:12:20Z,2022-10-25T12:12:20Z
てかみづきちゃん更にどんどん可愛くなっていくやんけ‼︎‼︎,てかみづきちゃん更にどんどん可愛くなっていくやんけ‼︎‼︎,きゃねたっく,3,2022-10-25T22:46:31Z,2022-10-25T22:46:31Z
キレイで性格の良さも滲み出て最高❤,キレイで性格の良さも滲み出て最高❤,Miho chan,2,2022-10-26T13:13:18Z,2022-10-26T13:13:18Z
美月ちゃん😳控えめに言って可愛いしか出てこない😆忙しいのはわかってるけど動画沢山出してほしい,"美月ちゃん😳控えめに言って
可愛いしか出てこない😆
忙しいのはわかってるけど
動画沢山出してほしい",将人,4,2022-10-26T05:41:15Z,2022-10-26T05:41:15Z
めっちゃ緩いドッキリで逆に新鮮,めっちゃ緩いドッキリで逆に新鮮,ラーソン,2,2022-10-25T21:42:41Z,2022-10-25T21:42:41Z
未来さん笑いすぎでしょ～。,未来さん笑いすぎでしょ～。,沖縄案内人taka,6,2022-10-25T14:20:27Z,2022-10-25T14:20:27Z
伊師さんめちゃくちゃ可愛くてすき、美月ちゃんはもちろん可愛い,伊師さんめちゃくちゃ可愛くてすき、美月ちゃんはもちろん可愛い,もやし高菜,4,2022-10-25T16:35:13Z,2022-10-25T16:35:13Z
銀の盾おめでとう🎉黒髪美人❤めっちゃ似合ってます😊,"銀の盾おめでとう🎉
黒髪美人❤
めっちゃ似合ってます😊",わだくん😈,18,2022-10-25T12:15:12Z,2022-10-25T12:15:12Z
髪色暗くしたら清楚感が増して、100倍美人になるやん。。金髪の時、あんまタイプじゃないわぁとか思ってたけど、髪暗くした瞬間にエグ可愛いですやん。,髪色暗くしたら清楚感が増して、100倍美人になるやん。。金髪の時、あんまタイプじゃないわぁとか思ってたけど、髪暗くした瞬間にエグ可愛いですやん。,チャーピー,6,2022-10-25T17:52:13Z,2022-10-25T17:52:13Z
面白かった！美月ちゃん、スムーズになってきてるね😊みくる君も騙してほしかったなぁ,"面白かった！
美月ちゃん、スムーズになってきてるね😊
みくる君も騙してほしかったなぁ",ふくみみ,18,2022-10-25T11:20:59Z,2022-10-25T11:20:59Z
え⁉️みくるさん面接しないの⁉️って思ったら仕掛人だったんだね😂でもみくるさんも知らない方が面白かったなあ😂,え⁉️みくるさん面接しないの⁉️って思ったら仕掛人だったんだね😂でもみくるさんも知らない方が面白かったなあ😂,みらいと書いてみくる,22,2022-10-25T11:57:50Z,2022-10-25T11:57:50Z
すっぴんと黒髪の衝撃で気付いてないやつ多いみたいだけど、眼鏡の可愛さもやばいぞ。,すっぴんと黒髪の衝撃で気付いてないやつ多いみたいだけど、眼鏡の可愛さもやばいぞ。,Qoo,13,2022-10-25T12:19:19Z,2022-10-25T14:41:27Z
