textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
あらためて、こんなわかりやすく丁寧な解説、頭が下がる思いです。本当にありがとうございます。,あらためて、こんなわかりやすく丁寧な解説、頭が下がる思いです。本当にありがとうございます。,みなすぬ,12,2022-10-27T01:32:01Z,2022-10-27T01:32:01Z
年金はどうしても変更が入るので対策は必要ですね。おかしいことに対しておかしいと声を上げて、ちゃんとした政策に投票するようにしていきたいです。,"年金はどうしても変更が入るので対策は必要ですね。
おかしいことに対しておかしいと声を上げて、ちゃんとした政策に投票するようにしていきたいです。",たたりん,14,2022-10-26T23:32:03Z,2022-10-26T23:32:03Z
平均寿命が伸びたら、納付期間を伸ばすが、支給を減らすかなどしないと、破綻するのは仕方ないとは思うけど、税金や社会保障費の使い方など、無駄が多いから、素直に受け入れられないのよね。,平均寿命が伸びたら、納付期間を伸ばすが、支給を減らすかなどしないと、破綻するのは仕方ないとは思うけど、税金や社会保障費の使い方など、無駄が多いから、素直に受け入れられないのよね。,田五作,199,2022-10-26T22:20:51Z,2022-10-26T22:20:51Z
将来的にFIREしたい身としては60歳からも国民年金払い続けるのは辛いし免除申請しかないかと思ってましたが、この動画のおかげで選択肢が増えました！学長のおかげでメディアに振り回されなくなってきました😊ありがとうございます！😄,将来的にFIREしたい身としては60歳からも国民年金払い続けるのは辛いし免除申請しかないかと思ってましたが、この動画のおかげで選択肢が増えました！学長のおかげでメディアに振り回されなくなってきました😊ありがとうございます！😄,20 20,13,2022-10-26T22:55:29Z,2022-10-26T22:55:29Z
ネットニュースで安易に悲観してることも学長が解説してくれるとこれほどまでに納得、安心できて備えようと思えるのが良い学長の凄いところだと思う。,ネットニュースで安易に悲観してることも学長が解説してくれるとこれほどまでに納得、安心できて備えようと思えるのが良い学長の凄いところだと思う。,佳亮 片山,48,2022-10-26T23:35:12Z,2022-10-26T23:35:12Z
学長が最後に言ってくれる前向きな言葉がとてもありがたいです。いつも本当にありがとうございます。,"学長が最後に言ってくれる前向きな言葉がとてもありがたいです。
いつも本当にありがとうございます。",ピコ,21,2022-10-26T22:42:31Z,2022-10-26T22:42:31Z
想像以上に複雑にからみあった問題なのだと知りました。ありがとうございました。,想像以上に複雑にからみあった問題なのだと知りました。ありがとうございました。,sakura island,15,2022-10-26T23:15:04Z,2022-10-26T23:15:04Z
おはようございます。朝から何回も見返してしまいました。濃密な動画ありがとうございます。どんな状況になっても勉強を欠かさずに、制度を活用したり、稼ぐ力を伸ばしたりして頑張りたいと思います。,"おはようございます。朝から何回も見返してしまいました。濃密な動画ありがとうございます。
どんな状況になっても勉強を欠かさずに、制度を活用したり、稼ぐ力を伸ばしたりして頑張りたいと思います。",ときしろ《ガルパンお絵描き》,5,2022-10-27T00:21:25Z,2022-10-27T00:21:25Z
ありがとうございました！今回の年金に関する学長の動画は、全国民必見のコンテンツだと感じました！多くの人にシェアしていきたい！！,ありがとうございました！今回の年金に関する学長の動画は、全国民必見のコンテンツだと感じました！多くの人にシェアしていきたい！！,エンタメ法学  ~ 法律バトルで学ぶ ~,12,2022-10-26T23:49:10Z,2022-10-26T23:49:10Z
この話題テレビで見ました。やはりテレビは庶民を煽るだけで、まともな情報を与えないとこの動画を見て再認識できました。ありがとうございます学長。,この話題テレビで見ました。やはりテレビは庶民を煽るだけで、まともな情報を与えないとこの動画を見て再認識できました。ありがとうございます学長。,らばーうどん,86,2022-10-26T22:35:52Z,2022-10-26T22:35:52Z
正しく学び、どうしたらより良い社会になるのかを考え判断する人が増えたら、生きやすい未来が待っている。いつも学びをありがとうございます。今日も心は前向きにがんばります。,"正しく学び、どうしたらより良い社会になるのかを考え判断する人が増えたら、生きやすい未来が待っている。
いつも学びをありがとうございます。今日も心は前向きにがんばります。",Sunrise ,5,2022-10-26T23:21:56Z,2022-10-26T23:21:56Z
感情と対策のバランスが合っていないっていう言語化が本当にその通り過ぎて感動した。上手く自分では言語化出来そうにない部分を言葉にしてくれるおかげでしっくりくる。今まで通り、コツコツ積み上げていこうかなと思いました。,感情と対策のバランスが合っていないっていう言語化が本当にその通り過ぎて感動した。上手く自分では言語化出来そうにない部分を言葉にしてくれるおかげでしっくりくる。今まで通り、コツコツ積み上げていこうかなと思いました。,Y o,34,2022-10-26T23:01:01Z,2022-10-26T23:01:01Z
今後の事を考えると仕方ないと思う反面、減ってしまうってなると対策を考えていかなくちゃなと思います。今日もありがとうございます♪,"今後の事を考えると仕方ないと思う反面、減ってしまうってなると対策を考えていかなくちゃなと思います。
今日もありがとうございます♪",まめから,5,2022-10-26T22:40:40Z,2022-10-26T22:40:40Z
学長、分かり易い解説ありがとうございます😊これまでの制度が日々改悪されていく世の中なので、常に最善の策を練られるように情報のアンテナを高くしていきます💪人生の荒波を楽しみます✨👍,"学長、分かり易い解説ありがとうございます😊
これまでの制度が日々改悪されていく世の中なので、常に最善の策を練られるように情報のアンテナを高くしていきます💪
人生の荒波を楽しみます✨👍",ゆるっと揚げチャン,9,2022-10-26T22:37:34Z,2022-10-26T22:37:34Z
おはようございます！長く丁寧な解説、ありがとうございます！道はまだまだあると力強く言ってもらえると心強いです！学びと行動、頑張ります！,"おはようございます！
長く丁寧な解説、ありがとうございます！
道はまだまだあると力強く言ってもらえると心強いです！学びと行動、頑張ります！",ダギールス,8,2022-10-26T22:50:46Z,2022-10-26T22:50:46Z
年金は無くならないけど、改悪は避けられない流れ。普通に働けるうちに備えておくことが大事ですね。どうにもならないことに文句を言っているなら、どうにかなることを少しずつやっていきます。,"年金は無くならないけど、改悪は避けられない流れ。
普通に働けるうちに備えておくことが大事ですね。

どうにもならないことに文句を言っているなら、どうにかなることを少しずつやっていきます。",無限界【mugenkai】,2,2022-10-26T22:29:05Z,2022-10-26T22:29:05Z
最近マインドマップの手作り動画が多くて嬉しいです。労務をやっていますが、国民年金法と厚生年金保険法の範囲も含まれてますし、よく調べているなぁと毎回感心します。社員を業務委託に切り替える方法は労働者と同じ拘束性のある働き方とみなされるような働き方をしていると、労基が入った時に労働者とみなされ未払い残業代など払えなど言われる可能生があるので、職種にもよりますが一概に社員を切り替えるなどは慎重にした方が良いと思っています。フリーランスは月の残業上限などもないので、近々政府がフリーランスの残業にもメスを入れる動きも見せてますし。。あと、マイクロ法人にメス(何らかしらの条件)が入るのも時間の問題だと個人的には考えています。とはいえ、今後の対策、考え方として非常に勉強になりました。,"最近マインドマップの手作り動画が多くて嬉しいです。労務をやっていますが、国民年金法と厚生年金保険法の範囲も含まれてますし、よく調べているなぁと毎回感心します。社員を業務委託に切り替える方法は労働者と同じ拘束性のある働き方とみなされるような働き方をしていると、労基が入った時に労働者とみなされ未払い残業代など払えなど言われる可能生があるので、職種にもよりますが一概に社員を切り替えるなどは慎重にした方が良いと思っています。フリーランスは月の残業上限などもないので、近々政府がフリーランスの残業にもメスを入れる動きも見せてますし。。

あと、マイクロ法人にメス(何らかしらの条件)が入るのも時間の問題だと個人的には考えています。とはいえ、今後の対策、考え方として非常に勉強になりました。",Chorroboy Music,22,2022-10-26T22:46:31Z,2022-10-26T22:46:31Z
