textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
📍ドン・キホーテ行ったら必ずこれ買う！って商品なにー？✨️,📍ドン・キホーテ行ったら必ずこれ買う！って商品なにー？✨️,chiimeloちいめろ,118,2022-10-26T10:04:27Z,2022-10-26T10:04:27Z
ナチュラルメイクの めろち 可愛すぎる❕いつも 盛れてるけど 今日も ビジュ最強😳💕,ナチュラルメイクの めろち 可愛すぎる❕いつも 盛れてるけど 今日も ビジュ最強😳💕,きあ,186,2022-10-26T10:33:11Z,2022-10-26T10:33:11Z
続いてはこちらと言われた時に毎回ハァーイとかピャア〜って何かしら反応するひめちゃんが尊すぎます🥺🥺🥺🥺🥺,続いてはこちらと言われた時に毎回ハァーイとかピャア〜って何かしら反応するひめちゃんが尊すぎます🥺🥺🥺🥺🥺,こりえ,20,2022-10-26T14:38:11Z,2022-10-26T14:38:11Z
ファンデ塗ってないのにこんなに肌綺麗なの羨ましい😭,ファンデ塗ってないのにこんなに肌綺麗なの羨ましい😭,soraꪔ̤̮ꪔ̤̮ꪔ̤̮,43,2022-10-26T11:50:06Z,2022-10-26T11:50:06Z
ナチュラルメイク個人的にめっちゃ好き❤笑顔がめっちゃ似合う！でも、化粧もふくめ好きなこと貫いて楽しそうにしてるちいめろちゃんが1番好き！,"ナチュラルメイク個人的にめっちゃ好き❤笑顔がめっちゃ似合う！
でも、化粧もふくめ好きなこと貫いて楽しそうにしてるちいめろちゃんが1番好き！",K I,15,2022-10-26T15:13:58Z,2022-10-26T15:13:58Z
めろちのナチュラルメイク可愛い〜💗💗,めろちのナチュラルメイク可愛い〜💗💗,うあ,40,2022-10-26T11:37:17Z,2022-10-26T11:37:17Z
ちいめろの動画は家事しながら見るのがぴったりなんよねえ( * ॑˘ ॑* )声のトーンとか画面からエネルギーが出てて元気になるねん(⸝⸝ᵒ̴̶̷ ᵕ ᵒ̴̶̷⸝⸝),ちいめろの動画は家事しながら見るのがぴったりなんよねえ( * ॑˘ ॑* )声のトーンとか画面からエネルギーが出てて元気になるねん(⸝⸝ᵒ̴̶̷ ᵕ ᵒ̴̶̷⸝⸝),ドラリヨ,2,2022-10-27T01:47:21Z,2022-10-27T01:47:21Z
個人的に今日の化粧の薄さのが可愛い🥺❣️,個人的に今日の化粧の薄さのが可愛い🥺❣️,a,29,2022-10-26T10:27:12Z,2022-10-26T10:27:12Z
ナチュラルメイクめちゃくちゃ可愛いし、ちゃんとTPO考えてて尊敬✨私も子供できたらそういう大人になりたい！,"ナチュラルメイクめちゃくちゃ可愛いし、ちゃんとTPO考えてて尊敬✨
私も子供できたらそういう大人になりたい！",うめこんぶちゃ,7,2022-10-26T14:05:43Z,2022-10-26T14:05:43Z
薄めのメイクでもちいめろさんは素敵です♡薄目のメイクすると盛れない私からするとすごく尊敬します🥺,"薄めのメイクでもちいめろさんは素敵です♡
薄目のメイクすると盛れない私からするとすごく尊敬します🥺",ユッピー,18,2022-10-26T11:17:14Z,2022-10-26T11:17:14Z
