textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
8:32 レア度低くてもキラキラしてたらノーマルと分けて並べるひゅーちんさすがにかわいすぎた😂ｗｗｗ,8:32 レア度低くてもキラキラしてたらノーマルと分けて並べるひゅーちんさすがにかわいすぎた😂ｗｗｗ,わかぎ,149,2022-10-24T13:21:36Z,2022-10-24T13:21:36Z
平和島までポケカ侵攻してるのどんだけテオくんハマってるかわかるわ笑,平和島までポケカ侵攻してるのどんだけテオくんハマってるかわかるわ笑,ちゃま,201,2022-10-24T12:06:03Z,2022-10-24T12:06:03Z
テオくんホームだけじゃなくて平和島まで進出してきてるの面白すぎる笑笑,テオくんホームだけじゃなくて平和島まで進出してきてるの面白すぎる笑笑,さき,356,2022-10-24T12:01:38Z,2022-10-24T12:01:38Z
ついに平和島でもポケカ紹介…！！みんなうきうきで開封してんの可愛すぎるだろ😵‍💫,"ついに平和島でもポケカ紹介…！！
みんなうきうきで開封してんの可愛すぎるだろ😵‍💫",み ど り 幸せ者🕊,56,2022-10-24T12:02:42Z,2022-10-24T12:02:42Z
8:32ここのひゅうちん可愛いし、ゆうたくんも気付いて｢お前優しいやつだな｣って言ってるのも可愛い〜,"8:32
ここのひゅうちん可愛いし、ゆうたくんも気付いて｢お前優しいやつだな｣って言ってるのも可愛い〜",naho,33,2022-10-24T23:28:09Z,2022-10-24T23:28:09Z
みんな親友みたいに仲良いの好きこんくんも裏方とか関係なくみんなで仲良いよなみんな楽しそうに開けてんの可愛いな,みんな親友みたいに仲良いの好きこんくんも裏方とか関係なくみんなで仲良いよなみんな楽しそうに開けてんの可愛いな,eds see,50,2022-10-24T12:09:21Z,2022-10-24T12:09:21Z
平和島ってゆるーい感じなのに、最初のひゅうがくんが気合い入りすぎな感じが面白い😂,平和島ってゆるーい感じなのに、最初のひゅうがくんが気合い入りすぎな感じが面白い😂,hitomin22,32,2022-10-24T12:27:02Z,2022-10-24T12:27:02Z
ガチで仲良い3人組まじ可愛いわww,ガチで仲良い3人組まじ可愛いわww,わっちでいこう 幸せ者,45,2022-10-24T12:05:37Z,2022-10-24T12:05:37Z
ポケモン初期くらいしか分からんけど、開封してる本人たちが楽しそうだから楽しく見れる,ポケモン初期くらいしか分からんけど、開封してる本人たちが楽しそうだから楽しく見れる,むむ,3,2022-10-24T23:30:41Z,2022-10-24T23:30:41Z
3人とも無邪気で可愛いwww,3人とも無邪気で可愛いwww,さき,31,2022-10-24T12:03:17Z,2022-10-24T12:03:17Z
ポケカ開封めちゃくちゃ見てるけど本当に飽きない笑笑  テオくんが楽しそうにしてるから元気貰えるんよね(  ´˘`  )みんなが一緒になって楽しめるものっていいね👍 ̖́-   ちな私もポケカハマりました笑,"ポケカ開封めちゃくちゃ見てるけど本当に飽きない笑笑  テオくんが楽しそうにしてるから元気貰えるんよね(  ´˘`  )
みんなが一緒になって楽しめるものっていいね👍 ̖́-   ちな私もポケカハマりました笑",のの,5,2022-10-24T12:34:52Z,2022-10-24T12:34:52Z
ひゅがゆたとテオくんのポケカ開封ずっと見てられるからもっと長い動画見たい！！！！お願いします！！,"ひゅがゆたとテオくんのポケカ開封ずっと見てられるからもっと長い動画見たい！！！！
お願いします！！",TikTokの歌姫を集めました。,16,2022-10-24T12:28:14Z,2022-10-24T12:28:14Z
ポケカのこと全然知らないから、出てる順番とかわかんなくて、動画投稿順に見てるとテオくんの慣れ方とかがバラバラで頭ごちゃごちゃになってく笑,ポケカのこと全然知らないから、出てる順番とかわかんなくて、動画投稿順に見てるとテオくんの慣れ方とかがバラバラで頭ごちゃごちゃになってく笑,しはる,3,2022-10-24T20:39:06Z,2022-10-24T20:39:06Z
大人になっても、男の子って感じで全力で楽しんでて好き,"大人になっても、男の子って感じで
全力で楽しんでて好き",mo chi,48,2022-10-24T12:28:42Z,2022-10-24T12:28:42Z
ポケカ開封がついに、平和島まできたーーー！！！本当にスカイドット仲良いな😂そろそろまた全員のスカイドットみたいな😊,"ポケカ開封がついに、平和島まできたーーー！！！
本当にスカイドット仲良いな😂
そろそろまた全員のスカイドットみたいな😊",カバちゃん♡テオファミ,5,2022-10-24T12:43:11Z,2022-10-24T12:43:11Z
ポケカ企画ってテオちゃんがワクワクして楽しんでるとこ見れるのが嬉しいんですわ,ポケカ企画ってテオちゃんがワクワクして楽しんでるとこ見れるのが嬉しいんですわ,とまとまと,6,2022-10-24T12:05:57Z,2022-10-24T12:05:57Z
楽しそうにポケカ開封してる姿見るの楽しい✨,楽しそうにポケカ開封してる姿見るの楽しい✨,ゆうね,2,2022-10-24T19:56:36Z,2022-10-24T19:56:36Z
強メンツでゆる~いの癒された、、、こんくん1番年下なのにお父さんみたいな顔するよね😌癒される😌,強メンツでゆる~いの癒された、、、こんくん1番年下なのにお父さんみたいな顔するよね😌癒される😌,mK,5,2022-10-24T13:03:37Z,2022-10-24T13:03:37Z
平和島にもポケカブームが来たァwひゅうがくん+ゆうたくん+テオくん+こんくんは嬉しい💗💗ポケカ動画あんまり分からないけど開ける時の表情が好きだから楽しみぃみんな金髪なのかっこいいw(*´˘`*)♡,"平和島にもポケカブームが来たァw
ひゅうがくん+ゆうたくん+
テオくん+こんくんは嬉しい💗💗
ポケカ動画あんまり分からないけど
開ける時の表情が好きだから楽しみぃ
みんな金髪なのかっこいいw(*´˘`*)♡",てん幸せ者,13,2022-10-24T12:02:59Z,2022-10-24T12:02:59Z
アローラのとこめっちゃ好きだからひゅうがくんが出したネクロズマで懐かしーって言ってたらバクガメス笑ったw,アローラのとこめっちゃ好きだからひゅうがくんが出したネクロズマで懐かしーって言ってたらバクガメス笑ったw,okaeri,2,2022-10-24T12:40:17Z,2022-10-24T12:40:17Z
ついにメインだけじゃ止まらずに平和島まで来るの好き！,ついにメインだけじゃ止まらずに平和島まで来るの好き！,幸せ者 テオファミ ふみふみ,5,2022-10-24T14:02:37Z,2022-10-24T14:02:37Z
パック開けてるの見てるの楽しい🥰,パック開けてるの見てるの楽しい🥰,あやか🦔 ＠幸せ者,1,2022-10-25T12:46:11Z,2022-10-25T12:46:11Z
3:57ゆうたくん→テオくんの『終っちゃったー』かわいい☺️この4人微笑ましい。また待ってます。,"3:57ゆうたくん→テオくんの『終っちゃったー』かわいい☺️
この4人微笑ましい。
また待ってます。",yo,9,2022-10-24T16:06:14Z,2022-10-24T16:06:14Z
ポケカ企画増えてて嬉しい😂😂,ポケカ企画増えてて嬉しい😂😂,あちゃ,3,2022-10-24T12:07:48Z,2022-10-24T12:07:48Z
なにより、楽しそうにしてる男子が可愛い笑,なにより、楽しそうにしてる男子が可愛い笑,やえばのうーろん,6,2022-10-24T12:02:57Z,2022-10-24T12:02:57Z
ひゅうがくんて見た目のイカつさとは違って無邪気な男の子なんだよなぁ( ´ ▽ ` )ひゅうがくんに、（カードが）キラキラしてたら分けるんだねって言ってるゆうたくんの声が優しくて好き☆ってか、少し前に撮ってるよね？これ。ゆうたくんの口元が違うから。ゆうたくんは気にしてただろうけど、ファンは歯並び気にしてなかったと思うな( ´∀｀),"ひゅうがくんて見た目のイカつさとは違って無邪気な男の子なんだよなぁ( ´ ▽ ` )
ひゅうがくんに、（カードが）キラキラしてたら分けるんだねって言ってるゆうたくんの声が優しくて好き☆
ってか、少し前に撮ってるよね？これ。
ゆうたくんの口元が違うから。
ゆうたくんは気にしてただろうけど、ファンは歯並び気にしてなかったと思うな( ´∀｀)",えん。,3,2022-10-25T00:11:51Z,2022-10-25T00:11:51Z
平和島でもポケカ！！！！しかもひゅうがくんとゆうたくん！！！！幸せだー！！！！！！！！,"平和島でもポケカ！！！！
しかもひゅうがくんとゆうたくん！！！！
幸せだー！！！！！！！！",のあ幸せ物,3,2022-10-24T12:03:55Z,2022-10-24T12:03:55Z
なんかひゅうががしっぽって言うとめっちゃ可愛い笑,なんかひゅうががしっぽって言うとめっちゃ可愛い笑,にじ🐰じんクラ🐴,6,2022-10-24T12:31:48Z,2022-10-24T12:31:48Z
ヒュウちんの手に付けてるブレスレット可愛すぎや！それしか頭入ってこない笑笑,ヒュウちんの手に付けてるブレスレット可愛すぎや！それしか頭入ってこない笑笑,lum,7,2022-10-24T12:25:23Z,2022-10-24T12:25:23Z
ひゅうがのテンションどうしたのwwwwwwサムネの時の3人が平和すぎて😂😂ポケカ当たり前のように平和島に来るの好きwww,"ひゅうがのテンションどうしたのwwwwww
サムネの時の3人が平和すぎて😂😂
ポケカ当たり前のように平和島に来るの好きwww",きの,0,2022-10-24T22:35:38Z,2022-10-24T22:35:38Z
最近テオくんのおかげでポケカ詳しくなってます笑,最近テオくんのおかげでポケカ詳しくなってます笑,ぽ,1,2022-10-24T14:15:22Z,2022-10-24T14:15:22Z
平和島でもポケカ開封恒例になってきてるのまじしぬwwwwww,平和島でもポケカ開封恒例になってきてるのまじしぬwwwwww,いちか_幸せ者☻♡,5,2022-10-24T12:04:07Z,2022-10-24T12:04:07Z
男の子の趣味って感じが最高( ̳- ·̫ - ̳ˆ )◞,男の子の趣味って感じが最高( ̳- ·̫ - ̳ˆ )◞,ねむは寝る🐏🍵,10,2022-10-24T12:01:09Z,2022-10-24T12:01:09Z
平和島にまでポケカが笑テオくんがどんだけポケカが好きかわかるわー笑,平和島にまでポケカが笑テオくんがどんだけポケカが好きかわかるわー笑,さあや🍣🍵,1,2022-10-24T12:24:00Z,2022-10-24T12:24:00Z
テオくんホームだけじゃなくて平和島まで進出しちゃった笑笑このメンツ面白くて好き笑,"テオくんホームだけじゃなくて平和島まで進出しちゃった笑笑
このメンツ面白くて好き笑",あやの,2,2022-10-24T12:09:51Z,2022-10-24T12:09:51Z
ストーリー見てわくわくしてたところにゆたひゅがは最強✊🏻✊🏻スカイドットの動画楽しみにしてるねー！！💞,ストーリー見てわくわくしてたところにゆたひゅがは最強✊🏻✊🏻スカイドットの動画楽しみにしてるねー！！💞,かえで 幸せ者,1,2022-10-24T12:02:16Z,2022-10-24T12:02:16Z
テオくんの開封見てるとカートンからいいの出終わってるボックス買い取ってるんじゃないかと思ってしまう,テオくんの開封見てるとカートンからいいの出終わってるボックス買い取ってるんじゃないかと思ってしまう,まどちゃん,0,2022-10-24T13:07:21Z,2022-10-24T13:07:21Z
平和島にまでポケカ進出😂💖ゆたひゅがコラボ見れて嬉しいです❤️‍🔥,"平和島にまでポケカ進出😂💖
ゆたひゅがコラボ見れて嬉しいです❤️‍🔥",Yuuka.,1,2022-10-24T12:15:24Z,2022-10-24T12:36:09Z
スカイチームとも仲良いってなんか好き,スカイチームとも仲良いってなんか好き,みゆ𓍯,0,2022-10-24T13:08:07Z,2022-10-24T13:08:07Z
こんくんのメガネ姿好きすぎるまじえぐい,"こんくんのメガネ姿好きすぎる
まじえぐい",てん幸せ者,2,2022-10-24T12:11:06Z,2022-10-24T12:11:06Z
この三人は最高すぎw,この三人は最高すぎw,じみて,0,2022-10-24T12:15:55Z,2022-10-24T12:15:55Z
ひゅうがくんのブレスレットがかわいい😂,ひゅうがくんのブレスレットがかわいい😂,らびゅ,3,2022-10-24T15:32:38Z,2022-10-24T15:32:38Z
テオくんの爪がほんとに綺麗すぎて泣けてくる,テオくんの爪がほんとに綺麗すぎて泣けてくる,安田担,1,2022-10-24T17:04:18Z,2022-10-24T17:04:18Z
ポケカ開封ドキドキするから楽しいよね😇,ポケカ開封ドキドキするから楽しいよね😇,みさきヶ丘学園,0,2022-10-24T12:03:13Z,2022-10-24T12:03:13Z
ゆうたとひゅうがいるのもちろん嬉しいけど、ておくんとこんくんの絡み見れるのうれしい🥺🎶💞,ゆうたとひゅうがいるのもちろん嬉しいけど、ておくんとこんくんの絡み見れるのうれしい🥺🎶💞,ふうちゃん🐶,0,2022-10-24T22:20:31Z,2022-10-24T22:20:31Z
もう最初からおもろい😂,もう最初からおもろい😂,アニメオタク,0,2022-10-24T12:04:36Z,2022-10-24T12:04:36Z
ポケモンもカードも全然知らないけどめっちゃ好きなんだよな笑,ポケモンもカードも全然知らないけどめっちゃ好きなんだよな笑,ポム,1,2022-10-24T14:14:42Z,2022-10-24T14:14:42Z
ここ最近、本チャンあがらない日はポケカ開封動画を期待してしまう😂,ここ最近、本チャンあがらない日はポケカ開封動画を期待してしまう😂,ちかこ,1,2022-10-24T12:12:04Z,2022-10-24T12:12:04Z
ポケカ開封みてて楽しい☺️,ポケカ開封みてて楽しい☺️,みずき,0,2022-10-24T12:19:17Z,2022-10-24T12:19:17Z
最近スカイドット匂わせ多すぎて楽しみすぎる人おらん？？,最近スカイドット匂わせ多すぎて楽しみすぎる人おらん？？,いちか_幸せ者☻♡,2,2022-10-24T12:04:34Z,2022-10-24T12:04:34Z
ポケカ専用のチャンネル待ってます笑,ポケカ専用のチャンネル待ってます笑,ここ,1,2022-10-24T14:09:20Z,2022-10-24T14:09:20Z
20代になっても少年心を忘れないの好き,20代になっても少年心を忘れないの好き,えい,6,2022-10-24T15:15:56Z,2022-10-24T15:15:56Z
最近ポケカ開封見るの好きになってる❤（笑）,最近ポケカ開封見るの好きになってる❤（笑）,ri ma-,0,2022-10-24T20:04:57Z,2022-10-24T20:04:57Z
日に日に私のポケモンカード知識が増えてくるwww,日に日に私のポケモンカード知識が増えてくるwww,もんちっち。,0,2022-10-25T03:47:05Z,2022-10-25T03:47:05Z
その2人の選択は神！😂,その2人の選択は神！😂,コムドットおめでとう,1,2022-10-25T10:50:55Z,2022-10-25T10:50:55Z
テオくんほーむに収まってないの好きすぎる😂もっとやってください笑,"テオくんほーむに収まってないの好きすぎる😂
もっとやってください笑",marimoのらう,0,2022-10-24T12:40:58Z,2022-10-24T12:40:58Z
ポケカの開封イッパイ見れて✨ホントうれしぃ( ´ ▽ ` ),ポケカの開封イッパイ見れて✨ホントうれしぃ( ´ ▽ ` ),〜やっし,0,2022-10-24T13:16:00Z,2022-10-24T13:16:00Z
いつまでも少年心を忘れない所もいい！笑少年の時よりも絶対喜んでるね😂,"いつまでも少年心を忘れない所もいい！笑
少年の時よりも絶対喜んでるね😂",ui,0,2022-10-24T13:41:31Z,2022-10-24T13:41:31Z
ておくんとコムドット二人の絡み好きだけど、そこにこんくんはいってもっとそこの絡みが好きになった♡,ておくんとコムドット二人の絡み好きだけど、そこにこんくんはいってもっとそこの絡みが好きになった♡,すいか,0,2022-10-24T22:38:37Z,2022-10-24T22:38:37Z
サムネの破壊力えぐい,サムネの破壊力えぐい,ふーか🐰,0,2022-10-24T12:15:02Z,2022-10-24T12:15:02Z
ちょーどいい時間見やすいし、楽しい朝にちょうどいい😊,ちょーどいい時間見やすいし、楽しい朝にちょうどいい😊,まっ,0,2022-10-25T00:21:11Z,2022-10-25T00:21:11Z
個人的にテオくんホームの編集がいちばん面白いと思ってるから、ここにいるみんなほんとにテオくんホーム見て欲しい笑,個人的にテオくんホームの編集がいちばん面白いと思ってるから、ここにいるみんなほんとにテオくんホーム見て欲しい笑,ふうちゃん🐶,1,2022-10-24T22:23:49Z,2022-10-24T22:23:49Z
最後のバクガメスで笑ったw,最後のバクガメスで笑ったw,ERUVIN,1,2022-10-24T12:13:57Z,2022-10-24T12:13:57Z
平和島までポケカってテオくんがどんだけポケカにハマってるか分かる笑テオくんとポケカ開封とかしてたら絶対自分も好きになる💕もう少しテオくん見てポケカの勉強します‼️,平和島までポケカってテオくんがどんだけポケカにハマってるか分かる笑テオくんとポケカ開封とかしてたら絶対自分も好きになる💕もう少しテオくん見てポケカの勉強します‼️,Eren🥀,0,2022-10-24T12:16:29Z,2022-10-24T12:16:29Z
サムネ確認したらひゅうがとゆうた凄かったwwww🤣,サムネ確認したらひゅうがとゆうた凄かったwwww🤣,みこるん,2,2022-10-24T15:13:56Z,2022-10-24T15:13:56Z
サムネwwwwスカイドットずっと待ってた❤ストーリーでも一緒にいたから楽しみすぎる✨,"サムネwwww
スカイドットずっと待ってた❤
ストーリーでも一緒にいたから楽しみすぎる✨",sky.まゆ🐴,1,2022-10-24T12:03:51Z,2022-10-24T12:03:51Z
8:34 ここすきwwwwww,8:34 ここすきwwwwww,ふーか🐰,6,2022-10-24T12:13:26Z,2022-10-24T12:13:26Z
テオくんホームだけじゃなくてこっちも動かしてくれてるのちょーうれしい！空の平和島ぷかぷかの挨拶大好きなんだよなぁ復活してよかった☺️,"テオくんホームだけじゃなくてこっちも動かしてくれてるのちょーうれしい！
空の平和島ぷかぷかの挨拶大好きなんだよなぁ
復活してよかった☺️",ちはる,0,2022-10-24T12:44:25Z,2022-10-24T12:44:25Z
ポケカ好きだから開封動画嬉しい〜,ポケカ好きだから開封動画嬉しい〜,wow,0,2022-10-24T12:02:16Z,2022-10-24T12:02:16Z
平和島の方でも上がってくれるのほんと嬉しい❤,平和島の方でも上がってくれるのほんと嬉しい❤,明桜空,0,2022-10-24T12:41:26Z,2022-10-24T12:41:26Z
ておくん爪綺麗、ピカピカ光ってた😂,ておくん爪綺麗、ピカピカ光ってた😂,ちゃる,0,2022-10-24T12:31:34Z,2022-10-24T12:31:34Z
平和島までポケカかよwwwいいわw個人ポケカ、平和島ポケカ、スカイピースコラボ,"平和島までポケカかよwwwいいわw
個人ポケカ、平和島ポケカ、スカイピースコラボ",愛羅武勇愛羅武勇,0,2022-10-24T12:09:46Z,2022-10-24T12:14:40Z
スカイピースとコムドットが一緒にいるだけで嬉しい,スカイピースとコムドットが一緒にいるだけで嬉しい,真夏のねこちゃん,0,2022-10-24T13:40:03Z,2022-10-24T13:40:03Z
平和島2連続ポケカ！！テオくんめっちゃハマってるね！！wテオくんのポケカの紹介でなんとなく分かってきた！！w,"平和島2連続ポケカ！！テオくんめっちゃハマってるね！！w
テオくんのポケカの紹介でなんとなく分かってきた！！w",かんな@テオファミ@じんクラ@幸せ者,0,2022-10-24T12:22:30Z,2022-10-24T12:22:30Z
平和島嬉しい！！！ひゅがゆた最高！,平和島嬉しい！！！ひゅがゆた最高！,りお,0,2022-10-24T12:04:39Z,2022-10-24T12:04:39Z
平和島！！テオくんホームじゃなくてこっちでも上げてくれるの嬉しい,平和島！！テオくんホームじゃなくてこっちでも上げてくれるの嬉しい,なたでここ,0,2022-10-24T12:04:12Z,2022-10-24T12:04:12Z
ひゅうちんみらんちゃんから貰ったブレスレットつけてるの可愛い♡,ひゅうちんみらんちゃんから貰ったブレスレットつけてるの可愛い♡,うらたん,1,2022-10-26T14:24:01Z,2022-10-26T14:24:01Z
ひゅうちん楽しそうで幸せ♡！,ひゅうちん楽しそうで幸せ♡！,no no,1,2022-10-24T12:28:13Z,2022-10-24T12:28:13Z
平和島にもゆうた♡ひゅーちん無邪気な子供みたいで可愛い〜💕💕,"平和島にもゆうた♡ひゅーちん
無邪気な子供みたいで可愛い〜💕💕",😊にこにこ😊ひなた,0,2022-10-24T12:34:37Z,2022-10-24T12:34:37Z
平和島までポケカだかはテオ君のハマり具合が私までわかるよ‼️テオ君の笑顔が私の笑顔だよ！,"平和島までポケカだかはテオ君のハマり具合が私までわかるよ‼️
テオ君の笑顔が私の笑顔だよ！",チナ,0,2022-10-24T12:27:10Z,2022-10-24T12:27:10Z
もう少年なんよなぁ🤣💞見てて楽しい,もう少年なんよなぁ🤣💞見てて楽しい,sᴏʀᴀ,0,2022-10-24T14:21:12Z,2022-10-24T14:21:12Z
とうとうコムドットまでポケカ参戦wwwww,とうとうコムドットまでポケカ参戦wwwww,ふーか🐰,0,2022-10-24T12:05:01Z,2022-10-24T12:05:01Z
やっぱりポケカかwww楽しそうでなにより😊,やっぱりポケカかwww楽しそうでなにより😊,あさっち@幸せ者,1,2022-10-24T12:09:00Z,2022-10-24T12:09:00Z
ひゅうがくんのレックウザ欲しい可愛すぎる😍,ひゅうがくんのレックウザ欲しい可愛すぎる😍,Sawatya,1,2022-10-25T06:35:19Z,2022-10-25T06:35:19Z
結構高いのに今日の動画テンポ良すぎ笑笑,結構高いのに今日の動画テンポ良すぎ笑笑,みく,0,2022-10-24T14:18:20Z,2022-10-24T14:18:20Z
めっちゃ楽しそうやんwww,めっちゃ楽しそうやんwww,Sami totsuka,0,2022-10-27T09:25:37Z,2022-10-27T09:25:37Z
ゆうたくんとひゅうがくんが出てるのが嬉しいから見にきた！！かわいい！おもしろい😊,"ゆうたくんとひゅうがくんが出てるのが嬉しいから見にきた！！
かわいい！おもしろい😊",あっとまーく,0,2022-10-24T12:54:12Z,2022-10-24T12:54:12Z
推し×推し×推し×ポケモンは最強！みんなが子供みたいで可愛い❤,推し×推し×推し×ポケモンは最強！みんなが子供みたいで可愛い❤,いくら,0,2022-10-24T12:29:34Z,2022-10-24T12:29:34Z
7:14   反応かわいすぎてる😮‍💨💘,7:14   反応かわいすぎてる😮‍💨💘,ふうちゃん🐶,0,2022-10-24T22:27:02Z,2022-10-24T22:27:02Z
2:03 謎にゆうたの腕噛まないでひゅうがw,2:03 謎にゆうたの腕噛まないでひゅうがw,きりまる,1,2022-10-26T08:51:51Z,2022-10-26T08:51:51Z
え...ウルトラシャイニー...?フュージョンアーツ...?さすがに古すぎね...?パラダイムトリガー行こうぜ...?,"え...
ウルトラシャイニー...?
フュージョンアーツ...?
さすがに古すぎね...?
パラダイムトリガー行こうぜ...?",龍惺 坪根,0,2022-10-24T13:17:02Z,2022-10-24T13:17:02Z
嬉しいコラボです！！！,嬉しいコラボです！！！,Yuuta&Kana,0,2022-10-24T12:59:21Z,2022-10-24T12:59:21Z
平和島がテオくんホームになってんのよwテオくん見れて嬉しい🫶,"平和島がテオくんホームになってんのよw
テオくん見れて嬉しい🫶",こんぺーと✩*ﾟ,0,2022-10-24T12:05:40Z,2022-10-24T12:06:03Z
メンツが最強！めっちゃ最高じゃん！！,"メンツが最強！
めっちゃ最高じゃん！！",実影,0,2022-10-24T14:07:41Z,2022-10-24T14:07:41Z
こんくんのメガネ姿結構好き...😂,こんくんのメガネ姿結構好き...😂,あさみん。,1,2022-10-24T13:10:25Z,2022-10-24T13:10:25Z
とうとう平和島もポケカチャンネルに笑笑,とうとう平和島もポケカチャンネルに笑笑,さき,0,2022-10-24T12:03:14Z,2022-10-24T12:03:14Z
ポケカ平和島まで進出してきてる😊,ポケカ平和島まで進出してきてる😊,えむ,0,2022-10-24T12:34:34Z,2022-10-24T12:34:34Z
ひゅうがくん最後キラとノーマルの他にゾロアだけ分けたのなんでか気になる笑,ひゅうがくん最後キラとノーマルの他にゾロアだけ分けたのなんでか気になる笑,Rina,0,2022-10-24T16:53:01Z,2022-10-24T16:53:01Z
テオくんホームの編集も好きなんだけどな~🥲🥲,テオくんホームの編集も好きなんだけどな~🥲🥲,M i U,1,2022-10-24T12:03:04Z,2022-10-24T12:03:04Z
コムドットとコラボ嬉しい😊😊,コムドットとコラボ嬉しい😊😊,たぬき,2,2022-10-24T12:02:21Z,2022-10-24T12:02:21Z
コムドットから2人も来てるから平和島なのか？テオくんホームも平和島も上がって嬉しい❤,"コムドットから2人も来てるから平和島なのか？
テオくんホームも平和島も上がって嬉しい❤",manon,1,2022-10-24T12:29:58Z,2022-10-24T12:29:58Z
おすすめに初めて出てきたから見たけどスカイピースポケカ開封やってるならこれからみよっかな,"おすすめに初めて出てきたから見たけど
スカイピースポケカ開封やってるならこれからみよっかな",かわ,0,2022-10-25T00:04:56Z,2022-10-25T00:04:56Z
サムネ撮影からおもろすぎやろwwww,サムネ撮影からおもろすぎやろwwww,SORA com.,0,2022-10-24T13:14:39Z,2022-10-24T13:14:39Z
スカイピース上がらない日に平和島あがるの嬉しいありがとう🥹👍🏻💖,"スカイピース上がらない日に
平和島あがるの嬉しいありがとう🥹👍🏻💖",藤寺  せいな,1,2022-10-24T12:02:23Z,2022-10-24T12:02:23Z
最近テオくんインスタも浮上多めでなんか嬉しい！🥰,最近テオくんインスタも浮上多めでなんか嬉しい！🥰,Anna,0,2022-10-24T15:20:58Z,2022-10-24T15:20:58Z
急上昇おめでとう㊗️,急上昇おめでとう㊗️,えい,2,2022-10-25T05:09:27Z,2022-10-25T05:09:27Z
