textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
しょこたん、もちちゃんを驚かせないように小声で話してて素晴らしい人だなと思った,"しょこたん、もちちゃんを驚かせないように小声で話してて
素晴らしい人だなと思った",haru,496,2022-10-26T11:54:04Z,2022-10-26T11:54:04Z
もちまるちゃん可愛いですね(⸝⸝⸝ᵒ̴̶̷ ⌑ ᵒ̴̶̷⸝⸝⸝)私も猫大好きなので、コラボ観れて良かったです。お手するのすごいですね。会った時に指の匂いを嗅がせてたの流石👏猫飼ってる人だなって思いました☺,"もちまるちゃん可愛いですね(⸝⸝⸝ᵒ̴̶̷ ⌑ ᵒ̴̶̷⸝⸝⸝)
私も猫大好きなので、コラボ観れて良かったです。お手するのすごいですね。会った時に指の匂いを嗅がせてたの流石👏猫飼ってる人だなって思いました☺",井手恵,199,2022-10-26T10:50:31Z,2022-10-26T10:50:31Z
しょこたんに馴つく猫ちゃんがめっちゃ可愛い。見てるだけで癒やされる〜🤗,しょこたんに馴つく猫ちゃんがめっちゃ可愛い。見てるだけで癒やされる〜🤗,小野英樹,47,2022-10-26T13:37:38Z,2022-10-26T13:37:38Z
もち様に会えたなんて羨ましい限りです。,もち様に会えたなんて羨ましい限りです。,yokopy,129,2022-10-26T11:21:02Z,2022-10-26T11:21:02Z
もち様に直に会えるなんてギガント羨ましす,もち様に直に会えるなんてギガント羨ましす,神社米華,58,2022-10-26T12:41:30Z,2022-10-26T12:41:30Z
「かわいいっ」っ言ってるテンション高いしょこたんが可愛い　笑こうゆう時って計算してない素の表情になりますよねー🤭❤,"「かわいいっ」っ言ってるテンション高いしょこたんが可愛い　笑
こうゆう時って計算してない素の表情になりますよねー🤭❤",チャンネルののの,60,2022-10-26T13:08:29Z,2022-10-26T13:08:29Z
さすが仲良くなるのが早いですね。他のお客さんが来た時よりも、もち様がリラックスしてるのが分かります。,さすが仲良くなるのが早いですね。他のお客さんが来た時よりも、もち様がリラックスしてるのが分かります。,ユウ,38,2022-10-26T15:08:46Z,2022-10-26T15:08:46Z
しょこたんすら一般化させるもち様の魅力って😅,しょこたんすら一般化させるもち様の魅力って😅,syuu san,403,2022-10-26T11:13:20Z,2022-10-26T11:13:20Z
しょこたんガチで肌白くて可愛い！動物好きだから癒される、しょこたん猫の扱いに慣れてるね,しょこたんガチで肌白くて可愛い！動物好きだから癒される、しょこたん猫の扱いに慣れてるね,今日のワンコ,170,2022-10-26T10:08:13Z,2022-10-26T10:08:43Z
もちまるちゃんいつも見てるんですけどまさかそこでしょこたんも見れるなんて感激⤴(๑ˊ͈ ꇴ ˋ͈)〰️❤,もちまるちゃんいつも見てるんですけどまさかそこでしょこたんも見れるなんて感激⤴(๑ˊ͈ ꇴ ˋ͈)〰️❤,woru ‐ j,84,2022-10-26T11:30:56Z,2022-10-26T11:30:56Z
もちまるは猫界のトップスター。しょこたんまで会いに来るとはうらやましい。,もちまるは猫界のトップスター。しょこたんまで会いに来るとはうらやましい。,藤ろう,577,2022-10-26T11:01:41Z,2022-10-26T11:01:41Z
さすがしょこたん✨小声で音を立てない配慮…素敵です🤗,さすがしょこたん✨小声で音を立てない配慮…素敵です🤗,にゃー,127,2022-10-26T13:22:16Z,2022-10-26T13:22:16Z
もちまるに会えるしょこたんも羨ましいけどしょこたんに会えて家に呼べる下僕がもっと羨ましい🥺！！,もちまるに会えるしょこたんも羨ましいけどしょこたんに会えて家に呼べる下僕がもっと羨ましい🥺！！,さやぽ,421,2022-10-26T10:44:44Z,2022-10-26T10:44:44Z
もち様には、毎日癒されてます❤️,もち様には、毎日癒されてます❤️,あゆ,181,2022-10-26T10:20:29Z,2022-10-26T10:20:29Z
やはりもち様の前では人は皆『下僕』と化してしまうのですね·····。しょこたんの猫愛が出まくってて尊い。,"やはりもち様の前では人は皆『下僕』と化してしまうのですね·····。
しょこたんの猫愛が出まくってて尊い。",源氏,44,2022-10-26T14:40:09Z,2022-10-26T14:40:09Z
しょこたんが、もち様がなにかする度に｢可愛い😍可愛い😍｣ってなってるの分かります😊💕もち様の虜になってるしょこたんも可愛すぎました😊❤,しょこたんが、もち様がなにかする度に｢可愛い😍可愛い😍｣ってなってるの分かります😊💕もち様の虜になってるしょこたんも可愛すぎました😊❤,豆乳くるみ,63,2022-10-26T11:52:58Z,2022-10-26T11:52:58Z
もちまるさんチャンネルから飛んできました。もちちゃん表情豊かでたまに人間っぽい仕草をするところが可愛くて大好きです💕🐱,"もちまるさんチャンネルから飛んできました。
もちちゃん表情豊かでたまに人間っぽい仕草をするところが可愛くて大好きです💕🐱",☆えみち〜。,61,2022-10-26T12:30:40Z,2022-10-26T12:30:40Z
もち様に会えるなんてテラ羨ましす✨,もち様に会えるなんてテラ羨ましす✨,つねウォーキング中,66,2022-10-26T11:06:32Z,2022-10-26T11:06:32Z
「ネコはこの宇宙で一番カワイイ生き物、ネコという存在がいてくれるおかげで、この地球にうまれたことが勝ち組となる」しょこたん、超ハイパー名言をありがとうございます！💛もちまる様も観めうるわしゅうございます。,"「ネコはこの宇宙で一番カワイイ生き物、ネコという存在がいてくれるおかげで、この地球にうまれたことが勝ち組となる」
しょこたん、超ハイパー名言をありがとうございます！💛もちまる様も観めうるわしゅうございます。",shibi shibe,64,2022-10-26T13:27:35Z,2022-10-26T13:27:35Z
もち様とのコラボ最強すぎです(*^-^*)めちゃ可愛いです(*´ω`*),もち様とのコラボ最強すぎです(*^-^*)めちゃ可愛いです(*´ω`*),アユミ,105,2022-10-26T10:13:46Z,2022-10-26T10:13:46Z
観てるこちらまで幸せな気分になりました🥰しょこたん、ありがとう💕,"観てるこちらまで幸せな気分になりました🥰
しょこたん、ありがとう💕",ぱんだ346,47,2022-10-26T12:33:08Z,2022-10-26T12:33:08Z
