textDisplay,textOriginal,authorDisplayName,likeCount,publishedAt,updatedAt
ネタを期待する人も一定数いるかもしれないけど、一人のファンとしてはレイドくんが自分で歌うって決めて色々準備してくれたものを公開してくれたのが本当に嬉しいです。ありがとう。聞きました、本当にありがとう全部好きだけど2番から後がマジのガチで良すぎて咽び泣いています,"ネタを期待する人も一定数いるかもしれないけど、
一人のファンとしてはレイドくんが自分で歌うって決めて色々準備してくれたものを公開してくれたのが本当に嬉しいです。ありがとう。

聞きました、本当にありがとう
全部好きだけど2番から後がマジのガチで良すぎて咽び泣いています",唐万,1128,2022-10-25T02:30:49Z,2022-10-25T11:07:50Z
とてもいいです,とてもいいです,花芽すみれ,130,2022-10-26T09:25:15Z,2022-10-26T09:25:15Z
レイドくんの歌みたが聴ける世界でよかった。ネオポルテに入ってすぐの時に歌みたの話題がそらるさんとのコラボで出てて、そこからもう一年。待望の歌みた...勝手にハードルぶち上がってるけどレイドくんならしっかりと踏み倒してくれると信じてます,"レイドくんの歌みたが聴ける世界でよかった。ネオポルテに入ってすぐの時に歌みたの話題がそらるさんとのコラボで出てて、そこからもう一年。待望の歌みた...
勝手にハードルぶち上がってるけどレイドくんならしっかりと踏み倒してくれると信じてます",post,254,2022-10-25T09:02:09Z,2022-10-25T09:02:09Z
語尾で息継ぎしてるとこ、おそらくAメロ、サビ、とかでまとめて撮ってる→普通はそのブレス消しちゃうけど消してない→MIXがそらるさんという事は消せないとかではなく『意    図    的    に    消    し    て    な    い』ありがとうレイド,"語尾で息継ぎしてるとこ、おそらくAメロ、サビ、とかでまとめて撮ってる→普通はそのブレス消しちゃうけど消してない→MIXがそらるさんという事は消せないとかではなく
『意    図    的    に    消    し    て    な    い』


ありがとうレイド",Neruyo Nemuiyo,715,2022-10-25T13:00:25Z,2022-10-26T14:03:37Z
こんなにかっこよく歌う人が告白成功してないわけが無い,こんなにかっこよく歌う人が告白成功してないわけが無い,かたあげぽてと,1033,2022-10-25T11:08:03Z,2022-10-25T11:08:03Z
最初の歌ってみたがこれほど納得するのなかなかない,"最初の歌ってみたが
これほど納得するのなかなかない",観測人-かんそくにん-,369,2022-10-25T00:23:46Z,2022-10-25T00:23:46Z
"dang, what a low, cool and awesome cover by Reid!!his singing voice is addicted already!!!","dang, what a low, cool and awesome cover by Reid!!
his singing voice is addicted already!!!",Ryukato,58,2022-10-25T11:03:33Z,2022-10-25T11:04:03Z
時折レイド君から途轍もないショタの波動を感じている者なのですが、正規版歌ってみた「天の弱」ではレイド君のショタボ成分……いや、ハスキーでブレス感の強い歌声が存分に生かされていて大変助かりましたれいーど、そらるさん、そしてネオポルテ　ありがとう,"時折レイド君から途轍もないショタの波動を感じている者なのですが、正規版歌ってみた「天の弱」ではレイド君のショタボ成分……いや、ハスキーでブレス感の強い歌声が存分に生かされていて大変助かりました
れいーど、そらるさん、そしてネオポルテ　ありがとう",さゆ,28,2022-10-25T15:43:11Z,2022-10-25T15:43:11Z
あのレイドくんの天ノ弱をらるさんのMIXで聴ける日が来るなんて…,"あのレイドくんの天ノ弱を
らるさんのMIXで聴ける日が来るなんて…",スライムてーる,273,2022-10-24T22:48:15Z,2022-10-24T22:48:15Z
聴き始めは違和感あるなと思ったけど、どんどん耳に馴染んでくるレイドさんの声優しくて好きだなぁ,聴き始めは違和感あるなと思ったけど、どんどん耳に馴染んでくるレイドさんの声優しくて好きだなぁ,名無しのR,26,2022-10-25T13:13:19Z,2022-10-25T13:13:19Z
