textDisplay,textOriginal,likeCount,publishedAt,updatedAt
長年に渡ってこの人たちが何かをすると面白いって脳に擦り込まれてるお陰で普通に面白く感じてるから東海って凄い。完全に調教されてる,長年に渡ってこの人たちが何かをすると面白いって脳に擦り込まれてるお陰で普通に面白く感じてるから東海って凄い。完全に調教されてる,2578,2022-10-18T12:39:53Z,2022-10-18T12:39:53Z
東海オンエアに関して言えば、「本人達が楽しんでいるか」が大切だと思う。正直、頑張って思いついたネタを面白くしようと努力した動画よりも、意味は分からないが楽しそうな動画の方が僕は何度も見たくなります。,東海オンエアに関して言えば、「本人達が楽しんでいるか」が大切だと思う。正直、頑張って思いついたネタを面白くしようと努力した動画よりも、意味は分からないが楽しそうな動画の方が僕は何度も見たくなります。,1652,2022-10-18T12:38:53Z,2022-10-18T12:38:53Z
伸びてない動画を再現して概要欄にリンクまで貼って伸ばそうとしてるの優しすぎるな,伸びてない動画を再現して概要欄にリンクまで貼って伸ばそうとしてるの優しすぎるな,197,2022-10-18T22:27:55Z,2022-10-18T22:27:55Z
季節が大事だとわかっててもちょっと前夏なのに雪山の動画出してくれた東海好き,季節が大事だとわかっててもちょっと前夏なのに雪山の動画出してくれた東海好き,1225,2022-10-18T13:00:54Z,2022-10-18T13:00:54Z
としみつ、理論派が多い東海だとおバカチームになりがちだけど野生の勘というか直感の鋭さはピカイチだと思う。感受性が豊かで人の思考とか感情を本人と同じタイミングで同じように感じてて、それがポロッと口から出ちゃうところが未来人たる所以なんだと思ってる。勝手に。,としみつ、理論派が多い東海だとおバカチームになりがちだけど野生の勘というか直感の鋭さはピカイチだと思う。感受性が豊かで人の思考とか感情を本人と同じタイミングで同じように感じてて、それがポロッと口から出ちゃうところが未来人たる所以なんだと思ってる。勝手に。,3165,2022-10-18T12:41:47Z,2022-10-18T12:41:47Z
さつまいもの季節は秋＝秋以外での投稿はバズらないと考えたとしみつのカンの鋭さ素晴らしすぎる,さつまいもの季節は秋＝秋以外での投稿はバズらないと考えたとしみつのカンの鋭さ素晴らしすぎる,585,2022-10-18T13:50:54Z,2022-10-18T13:50:54Z
体感久しぶりにてつやが丁寧に導入やってくれて嬉しい。,体感久しぶりにてつやが丁寧に導入やってくれて嬉しい。,9,2022-10-19T16:38:36Z,2022-10-19T16:38:36Z
24時間にらめっこ全然伸びてないけど死ぬほど笑わせてもらったから結構好き,24時間にらめっこ全然伸びてないけど死ぬほど笑わせてもらったから結構好き,548,2022-10-18T14:44:47Z,2022-10-18T14:44:47Z
忖度なく辛口コメントする虫さん好き,忖度なく辛口コメントする虫さん好き,512,2022-10-18T14:17:04Z,2022-10-18T14:17:04Z
全問正解できたわいすげぇって思ったけどここまで再現できるてつやたちはやっぱすげぇなあ💭,"全問正解できたわいすげぇって思ったけど
ここまで再現できるてつやたちはやっぱすげぇなあ💭",33,2022-10-18T13:53:20Z,2022-10-18T13:53:20Z
